date,hour,region,stock_now,stock_next,stay,inflow,outflow,exit,entry,reconstructed_next,difference,passed
2018-01-03,6,near,24,30,23,5,1,0,2,30,0,True
2018-01-03,6,outer,3,4,3,0,0,0,1,4,0,True
2018-01-03,7,core,13,11,10,1,3,0,0,11,0,True
2018-01-03,7,near,30,29,27,2,1,2,0,29,0,True
2018-01-03,7,outer,4,5,4,1,0,0,0,5,0,True
2018-01-03,8,core,11,15,10,5,1,0,0,15,0,True
2018-01-03,8,near,29,26,24,1,5,0,1,26,0,True
2018-01-03,8,outer,5,5,4,1,1,0,0,5,0,True
2018-01-03,9,core,15,13,13,0,2,0,0,13,0,True
2018-01-03,9,near,26,27,25,2,1,0,0,27,0,True
2018-01-03,9,outer,5,7,5,1,0,0,1,7,0,True
2018-01-03,10,core,13,10,9,1,4,0,0,10,0,True
2018-01-03,10,near,27,29,26,3,0,1,0,29,0,True
2018-01-03,10,outer,7,7,5,2,2,0,0,7,0,True
2018-01-03,11,core,10,9,9,0,1,0,0,9,0,True
2018-01-03,11,near,29,29,28,1,1,0,0,29,0,True
2018-01-03,11,outer,7,9,7,1,0,0,1,9,0,True
2018-01-03,12,core,9,8,8,0,1,0,0,8,0,True
2018-01-03,12,near,29,31,29,1,0,0,1,31,0,True
2018-01-03,12,outer,9,8,8,0,0,1,0,8,0,True
2018-01-03,13,core,8,9,7,2,1,0,0,9,0,True
2018-01-03,13,near,31,32,29,3,2,0,0,32,0,True
2018-01-03,13,outer,8,6,6,0,2,0,0,6,0,True
2018-01-03,14,core,9,10,8,2,1,0,0,10,0,True
2018-01-03,14,near,32,33,30,2,2,0,1,33,0,True
2018-01-03,14,outer,6,4,4,0,1,1,0,4,0,True
2018-01-03,15,core,10,11,8,3,2,0,0,11,0,True
2018-01-03,15,near,33,32,29,2,3,1,1,32,0,True
2018-01-03,15,outer,4,4,4,0,0,0,0,4,0,True
2018-01-03,16,core,11,13,10,3,1,0,0,13,0,True
2018-01-03,16,near,32,29,28,1,3,1,0,29,0,True
2018-01-03,16,outer,4,4,4,0,0,0,0,4,0,True
2018-01-03,17,core,13,13,13,0,0,0,0,13,0,True
2018-01-03,17,near,29,27,27,0,1,1,0,27,0,True
2018-01-03,17,outer,4,5,4,1,0,0,0,5,0,True
2018-01-03,18,core,13,9,9,0,4,0,0,9,0,True
2018-01-03,18,near,27,32,27,5,0,0,0,32,0,True
2018-01-03,18,outer,5,4,4,0,1,0,0,4,0,True
2018-01-03,19,core,9,12,8,4,1,0,0,12,0,True
2018-01-03,19,near,32,25,25,0,6,1,0,25,0,True
2018-01-03,19,outer,4,7,4,3,0,0,0,7,0,True
2018-01-03,20,core,12,13,12,1,0,0,0,13,0,True
2018-01-03,20,near,25,25,24,0,1,0,1,25,0,True
2018-01-03,20,outer,7,7,7,0,0,0,0,7,0,True
2018-01-03,21,core,13,15,13,2,0,0,0,15,0,True
2018-01-03,21,near,25,23,22,1,2,1,0,23,0,True
2018-01-03,21,outer,7,4,4,0,1,2,0,4,0,True
2018-01-03,22,core,15,9,8,1,7,0,0,9,0,True
2018-01-03,22,near,23,29,22,6,1,0,1,29,0,True
2018-01-03,22,outer,4,5,4,1,0,0,0,5,0,True
2018-01-03,23,core,9,12,8,4,1,0,0,12,0,True
2018-01-03,23,near,29,24,24,0,5,0,0,24,0,True
2018-01-03,23,outer,5,7,5,2,0,0,0,7,0,True
2018-01-04,0,core,12,12,12,0,0,0,0,12,0,True
2018-01-04,0,near,24,25,24,0,0,0,1,25,0,True
2018-01-04,0,outer,7,6,6,0,0,1,0,6,0,True
2018-01-04,1,core,12,13,12,1,0,0,0,13,0,True
2018-01-04,1,near,25,25,24,0,0,1,1,25,0,True
2018-01-04,1,outer,6,5,4,0,1,1,1,5,0,True
2018-01-04,2,core,13,12,11,1,2,0,0,12,0,True
2018-01-04,2,near,25,25,23,2,1,1,0,25,0,True
2018-01-04,2,outer,5,7,5,0,0,0,2,7,0,True
2018-01-04,3,core,12,11,10,1,2,0,0,11,0,True
2018-01-04,3,near,25,30,25,3,0,0,2,30,0,True
2018-01-04,3,outer,7,6,5,0,2,0,1,6,0,True
2018-01-04,4,core,11,11,11,0,0,0,0,11,0,True
2018-01-04,4,near,30,28,28,0,1,1,0,28,0,True
2018-01-04,4,outer,6,6,5,1,0,1,0,6,0,True
2018-01-04,5,core,11,16,11,5,0,0,0,16,0,True
2018-01-04,5,near,28,25,23,2,5,0,0,25,0,True
2018-01-04,5,outer,6,4,3,0,2,1,1,4,0,True
2018-01-04,6,core,16,11,10,1,5,1,0,11,0,True
2018-01-04,6,near,25,28,25,2,0,0,1,28,0,True
2018-01-04,6,outer,4,7,3,3,1,0,1,7,0,True
2018-01-04,7,core,11,10,8,2,3,0,0,10,0,True
2018-01-04,7,near,28,30,25,5,2,1,0,30,0,True
2018-01-04,7,outer,7,3,2,1,3,2,0,3,0,True
2018-01-04,8,core,10,10,9,1,1,0,0,10,0,True
2018-01-04,8,near,30,29,28,1,2,0,0,29,0,True
2018-01-04,8,outer,3,6,3,1,0,0,2,6,0,True
2018-01-04,9,core,10,8,8,0,2,0,0,8,0,True
2018-01-04,9,near,29,30,28,2,1,0,0,30,0,True
2018-01-04,9,outer,6,6,5,1,0,1,0,6,0,True
2018-01-04,10,core,8,9,6,3,2,0,0,9,0,True
2018-01-04,10,near,30,31,28,3,2,0,0,31,0,True
2018-01-04,10,outer,6,5,4,0,2,0,1,5,0,True
2018-01-04,11,core,9,14,8,6,0,1,0,14,0,True
2018-01-04,11,near,31,26,24,1,6,1,1,26,0,True
2018-01-04,11,outer,5,4,4,0,1,0,0,4,0,True
2018-01-04,12,core,14,14,14,0,0,0,0,14,0,True
2018-01-04,12,near,26,26,26,0,0,0,0,26,0,True
2018-01-04,12,outer,4,5,4,0,0,0,1,5,0,True
2018-01-04,13,core,14,11,11,0,3,0,0,11,0,True
2018-01-04,13,near,26,29,24,4,1,1,1,29,0,True
2018-01-04,13,outer,5,5,4,1,1,0,0,5,0,True
2018-01-04,14,core,11,13,10,3,1,0,0,13,0,True
2018-01-04,14,near,29,26,25,1,3,1,0,26,0,True
