region,hour_of_day,action,rolling_improve_count,rolling_worsen_count,rolling_tie_count,rolling_total_delta_sse,rolling_median_delta_sse,nonoverlap_block_1_delta,nonoverlap_block_2_delta,final_analog_delta,signal_strength
near,22,minus_one,4,4,0,50.0,3.0,-5.0,29.0,30.0,weak
near,23,plus_one,0,8,0,296.0,37.0,37.0,15.0,8.0,harmful
near,23,minus_one,8,0,0,-184.0,-23.0,-23.0,-1.0,4.0,weak
outer,0,plus_one,0,8,0,64.0,10.0,11.0,5.0,2.0,harmful
outer,0,minus_one,0,8,0,48.0,4.0,3.0,9.0,10.0,harmful
outer,1,plus_one,2,6,0,44.0,4.0,15.0,-5.0,-6.0,harmful
outer,1,minus_one,3,5,0,68.0,10.0,-1.0,19.0,18.0,harmful
outer,2,plus_one,0,8,0,74.0,9.0,13.0,7.0,8.0,harmful
outer,2,minus_one,0,8,0,38.0,5.0,1.0,7.0,4.0,harmful
outer,3,plus_one,0,8,0,110.0,13.0,13.0,13.0,10.0,harmful
outer,3,minus_one,3,5,0,2.0,1.0,1.0,1.0,2.0,harmful
outer,4,plus_one,0,8,0,120.0,14.0,19.0,13.0,12.0,harmful
outer,4,minus_one,4,4,0,-8.0,0.0,-5.0,1.0,0.0,weak
outer,5,plus_one,0,8,0,84.0,10.0,15.0,9.0,8.0,harmful
outer,5,minus_one,2,6,0,28.0,4.0,-1.0,5.0,4.0,harmful
outer,6,plus_one,1,7,0,50.0,7.0,13.0,-1.0,2.0,harmful
outer,6,minus_one,0,8,0,62.0,7.0,1.0,15.0,10.0,harmful
outer,7,plus_one,0,8,0,100.0,13.0,9.0,11.0,8.0,harmful
outer,7,minus_one,3,5,0,12.0,1.0,5.0,3.0,4.0,harmful
outer,8,plus_one,1,7,0,38.0,6.0,-3.0,5.0,2.0,harmful
outer,8,minus_one,0,8,0,74.0,8.0,17.0,9.0,10.0,harmful
outer,9,plus_one,3,5,0,22.0,3.0,-3.0,9.0,12.0,harmful
outer,9,minus_one,0,8,0,90.0,11.0,17.0,5.0,0.0,harmful
outer,10,plus_one,0,8,0,128.0,17.0,9.0,21.0,24.0,harmful
outer,10,minus_one,5,3,0,-16.0,-3.0,5.0,-7.0,-12.0,moderate
outer,11,plus_one,1,7,0,52.0,6.0,3.0,-1.0,2.0,harmful
outer,11,minus_one,0,8,0,60.0,8.0,11.0,15.0,10.0,harmful
outer,12,plus_one,0,8,0,286.0,38.0,39.0,21.0,16.0,harmful
outer,12,minus_one,8,0,0,-174.0,-24.0,-25.0,-7.0,-4.0,strong
outer,13,plus_one,0,8,0,278.0,38.0,19.0,23.0,14.0,harmful
outer,13,minus_one,8,0,0,-166.0,-24.0,-5.0,-9.0,-2.0,strong
outer,14,plus_one,0,8,0,114.0,14.0,17.0,5.0,0.0,harmful
outer,14,minus_one,4,4,0,-2.0,0.0,-3.0,9.0,12.0,weak
outer,15,plus_one,0,8,0,86.0,12.0,17.0,1.0,-2.0,harmful
outer,15,minus_one,4,4,0,26.0,2.0,-3.0,13.0,14.0,weak
outer,16,plus_one,4,4,0,48.0,6.0,27.0,-17.0,-18.0,weak
