evaluation_id,region,hour_of_day,n_days,mean_residual,median_residual,residual_std,positive_count,negative_count,zero_count,baseline_sse,plus_one_sse,minus_one_sse,plus_one_delta_sse,minus_one_delta_sse
fold_06,core,0,7,-1.0,-2.0,4.163331998932265,2,5,0,111.0,132.0,104.0,21.0,-7.0
fold_06,core,1,7,-0.5714285714285714,-1.0,1.618347187425374,1,6,0,18.0,33.0,17.0,15.0,-1.0
fold_06,core,2,7,-1.0,-2.0,4.47213595499958,2,5,0,127.0,148.0,120.0,21.0,-7.0
fold_06,core,3,7,-2.5714285714285716,-4.0,5.094347941825426,2,4,1,202.0,245.0,173.0,43.0,-29.0
fold_06,core,4,7,-2.4285714285714284,-5.0,5.593363414414827,2,5,0,229.0,270.0,202.0,41.0,-27.0
fold_06,core,5,7,-1.8571428571428572,-3.0,1.864454471471609,1,6,0,45.0,78.0,26.0,33.0,-19.0
fold_06,core,6,7,-4.571428571428571,-5.0,3.598941643369749,1,6,0,224.0,295.0,167.0,71.0,-57.0
fold_06,core,7,7,-1.1428571428571428,-1.0,3.38765264987284,2,5,0,78.0,101.0,69.0,23.0,-9.0
fold_06,core,8,7,0.14285714285714285,1.0,3.0237157840738176,4,3,0,55.0,60.0,64.0,5.0,9.0
fold_06,core,9,7,-0.5714285714285714,-1.0,2.370453040886408,2,4,1,36.0,51.0,35.0,15.0,-1.0
fold_06,core,10,7,-2.5714285714285716,-5.0,4.117326918327103,1,5,1,148.0,191.0,119.0,43.0,-29.0
fold_06,core,11,7,-1.5714285714285714,-3.0,4.2370250120079485,2,5,0,125.0,154.0,110.0,29.0,-15.0
fold_06,core,12,7,-3.0,-2.0,3.6514837167011076,1,6,0,143.0,192.0,108.0,49.0,-35.0
fold_06,core,13,7,0.2857142857142857,-1.0,5.154748157905347,2,5,0,160.0,163.0,171.0,3.0,11.0
fold_06,core,14,7,-0.7142857142857143,0.0,3.6384193323605842,3,3,1,83.0,100.0,80.0,17.0,-3.0
fold_06,core,15,7,-2.142857142857143,-5.0,6.718843437888483,3,4,0,303.0,340.0,280.0,37.0,-23.0
fold_06,core,16,7,-1.5714285714285714,-2.0,4.503966505838413,2,5,0,139.0,168.0,124.0,29.0,-15.0
fold_06,core,17,7,0.0,-2.0,4.509249752822894,2,5,0,122.0,129.0,129.0,7.0,7.0
fold_06,core,18,7,-0.14285714285714285,0.0,2.2677868380553634,2,3,2,31.0,40.0,36.0,9.0,5.0
fold_06,core,19,7,-1.2857142857142858,0.0,5.3452248382484875,3,3,1,183.0,208.0,172.0,25.0,-11.0
