evaluation_id,date,H_d_true,H_d_pred,daily_total_error,daily_sse,U_d,is_normal,quality,forecast_horizon,H_core_true,H_near_true,H_outer_true,H_core_pred,H_near_pred,H_outer_pred
fold_05,2018-01-19,247.0,312.0,65.0,525.0,52,True,normal,5,130.0,76.0,41.0,164.0,102.0,46.0
fold_05,2018-01-20,400.0,309.0,-91.0,595.0,55,True,normal,6,203.0,132.0,65.0,162.0,101.0,46.0
fold_05,2018-01-21,407.0,309.0,-98.0,890.0,54,True,normal,7,209.0,136.0,62.0,162.0,101.0,46.0
fold_06,2018-01-16,159.0,312.0,153.0,767.0,53,False,outage,1,78.0,55.0,26.0,164.0,102.0,46.0
fold_06,2018-01-17,120.0,312.0,192.0,932.0,48,False,severe,2,60.0,38.0,22.0,164.0,102.0,46.0
fold_06,2018-01-18,171.0,312.0,141.0,643.0,46,False,severe,3,84.0,52.0,35.0,164.0,102.0,46.0
fold_06,2018-01-19,247.0,312.0,65.0,525.0,52,True,normal,4,130.0,76.0,41.0,164.0,102.0,46.0
fold_06,2018-01-20,400.0,309.0,-91.0,595.0,55,True,normal,5,203.0,132.0,65.0,162.0,101.0,46.0
fold_06,2018-01-21,407.0,309.0,-98.0,890.0,54,True,normal,6,209.0,136.0,62.0,162.0,101.0,46.0
fold_06,2018-01-22,261.0,312.0,51.0,597.0,52,True,normal,7,138.0,91.0,32.0,164.0,102.0,46.0
fold_07,2018-01-17,120.0,312.0,192.0,932.0,48,False,severe,1,60.0,38.0,22.0,164.0,102.0,46.0
fold_07,2018-01-18,171.0,312.0,141.0,643.0,46,False,severe,2,84.0,52.0,35.0,164.0,102.0,46.0
fold_07,2018-01-19,247.0,312.0,65.0,525.0,52,True,normal,3,130.0,76.0,41.0,164.0,102.0,46.0
fold_07,2018-01-20,400.0,309.0,-91.0,595.0,55,True,normal,4,203.0,132.0,65.0,162.0,101.0,46.0
fold_07,2018-01-21,407.0,309.0,-98.0,890.0,54,True,normal,5,209.0,136.0,62.0,162.0,101.0,46.0
fold_07,2018-01-22,261.0,312.0,51.0,597.0,52,True,normal,6,138.0,91.0,32.0,164.0,102.0,46.0
fold_07,2018-01-23,325.0,312.0,-13.0,517.0,48,True,normal,7,158.0,113.0,54.0,164.0,102.0,46.0
fold_08,2018-01-18,171.0,312.0,141.0,643.0,46,False,severe,1,84.0,52.0,35.0,164.0,102.0,46.0
fold_08,2018-01-19,247.0,312.0,65.0,525.0,52,True,normal,2,130.0,76.0,41.0,164.0,102.0,46.0
fold_08,2018-01-20,400.0,309.0,-91.0,595.0,55,True,normal,3,203.0,132.0,65.0,162.0,101.0,46.0
fold_08,2018-01-21,407.0,309.0,-98.0,890.0,54,True,normal,4,209.0,136.0,62.0,162.0,101.0,46.0
fold_08,2018-01-22,261.0,312.0,51.0,597.0,52,True,normal,5,138.0,91.0,32.0,164.0,102.0,46.0
fold_08,2018-01-23,325.0,312.0,-13.0,517.0,48,True,normal,6,158.0,113.0,54.0,164.0,102.0,46.0
fold_08,2018-01-24,366.0,312.0,-54.0,748.0,48,True,normal,7,199.0,124.0,43.0,164.0,102.0,46.0
final_analog,2018-01-19,247.0,312.0,65.0,525.0,52,True,normal,1,130.0,76.0,41.0,164.0,102.0,46.0
final_analog,2018-01-20,400.0,309.0,-91.0,595.0,55,True,normal,2,203.0,132.0,65.0,162.0,101.0,46.0
final_analog,2018-01-21,407.0,309.0,-98.0,890.0,54,True,normal,3,209.0,136.0,62.0,162.0,101.0,46.0
final_analog,2018-01-22,261.0,312.0,51.0,597.0,52,True,normal,4,138.0,91.0,32.0,164.0,102.0,46.0
final_analog,2018-01-23,325.0,312.0,-13.0,517.0,48,True,normal,5,158.0,113.0,54.0,164.0,102.0,46.0
final_analog,2018-01-24,366.0,312.0,-54.0,748.0,48,True,normal,6,199.0,124.0,43.0,164.0,102.0,46.0
