vessel_quantile,region,hour,mean_hourly,mean_share
high_U,near,11,9.375,0.0859106529209622
high_U,near,12,4.75,0.043528064146620846
high_U,near,13,4.125,0.037800687285223365
high_U,near,14,5.625,0.05154639175257732
high_U,near,15,7.625,0.06987399770904926
high_U,near,16,5.125,0.046964490263459335
high_U,near,17,2.875,0.026345933562428408
high_U,near,18,4.625,0.042382588774341354
high_U,near,19,6.875,0.06300114547537228
high_U,near,20,3.75,0.03436426116838488
high_U,near,21,2.0,0.018327605956471937
high_U,near,22,3.125,0.0286368843069874
high_U,near,23,5.875,0.053837342497136315
high_U,outer,0,2.25,0.046753246753246755
high_U,outer,1,2.125,0.04415584415584416
high_U,outer,2,0.5,0.01038961038961039
high_U,outer,3,1.375,0.02857142857142857
high_U,outer,4,1.5,0.03116883116883117
high_U,outer,5,1.75,0.03636363636363636
high_U,outer,6,0.875,0.01818181818181818
high_U,outer,7,2.5,0.05194805194805195
high_U,outer,8,2.5,0.05194805194805195
high_U,outer,9,3.25,0.06753246753246753
high_U,outer,10,2.75,0.05714285714285714
high_U,outer,11,2.375,0.04935064935064935
high_U,outer,12,4.125,0.08571428571428572
high_U,outer,13,3.875,0.08051948051948052
high_U,outer,14,3.25,0.06753246753246753
high_U,outer,15,1.625,0.033766233766233764
high_U,outer,16,1.625,0.033766233766233764
high_U,outer,17,1.875,0.03896103896103896
high_U,outer,18,1.625,0.033766233766233764
high_U,outer,19,0.875,0.01818181818181818
high_U,outer,20,2.0,0.04155844155844156
high_U,outer,21,1.875,0.03896103896103896
high_U,outer,22,0.875,0.01818181818181818
high_U,outer,23,0.75,0.015584415584415584
