date_i,date_j,U_i,U_j,dU,H_i,H_j,dH,c_i,c_j,dc
2018-01-02,2018-01-19,53,52,1,380.0,247.0,133.0,7.169811320754717,4.75,2.419811320754717
2018-01-02,2018-01-20,53,55,-2,380.0,400.0,-20.0,7.169811320754717,7.2727272727272725,-0.10291595197255532
2018-01-02,2018-01-21,53,54,-1,380.0,407.0,-27.0,7.169811320754717,7.537037037037037,-0.36722571628232004
2018-01-02,2018-01-22,53,52,1,380.0,261.0,119.0,7.169811320754717,5.019230769230769,2.150580551523948
2018-01-02,2018-01-23,53,48,5,380.0,325.0,55.0,7.169811320754717,6.770833333333333,0.39897798742138413
2018-01-02,2018-01-24,53,48,5,380.0,366.0,14.0,7.169811320754717,7.625,-0.45518867924528283
2018-01-03,2018-01-04,58,55,3,364.0,316.0,48.0,6.275862068965517,5.745454545454545,0.5304075235109718
2018-01-03,2018-01-05,58,57,1,364.0,324.0,40.0,6.275862068965517,5.684210526315789,0.5916515426497275
2018-01-03,2018-01-06,58,61,-3,364.0,304.0,60.0,6.275862068965517,4.983606557377049,1.2922555115884675
2018-01-03,2018-01-07,58,60,-2,364.0,363.0,1.0,6.275862068965517,6.05,0.22586206896551708
2018-01-03,2018-01-08,58,56,2,364.0,302.0,62.0,6.275862068965517,5.392857142857143,0.8830049261083737
2018-01-03,2018-01-09,58,54,4,364.0,296.0,68.0,6.275862068965517,5.481481481481482,0.7943805874840351
2018-01-03,2018-01-10,58,54,4,364.0,263.0,101.0,6.275862068965517,4.87037037037037,1.4054916985951467
2018-01-03,2018-01-11,58,54,4,364.0,264.0,100.0,6.275862068965517,4.888888888888889,1.3869731800766276
2018-01-03,2018-01-19,58,52,6,364.0,247.0,117.0,6.275862068965517,4.75,1.525862068965517
2018-01-03,2018-01-20,58,55,3,364.0,400.0,-36.0,6.275862068965517,7.2727272727272725,-0.9968652037617556
2018-01-03,2018-01-21,58,54,4,364.0,407.0,-43.0,6.275862068965517,7.537037037037037,-1.2611749680715203
2018-01-03,2018-01-22,58,52,6,364.0,261.0,103.0,6.275862068965517,5.019230769230769,1.2566312997347477
2018-01-03,2018-01-23,58,48,10,364.0,325.0,39.0,6.275862068965517,6.770833333333333,-0.49497126436781613
