evaluation_id,evaluation_type,method,task_key,pair,direction_role,n_scored_rows,actual_total,predicted_total,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,zero_true_rate,zero_prediction_rate
fold_02,rolling_7d,circular3_all,core->outer,core_outer,forward,168,33.0,14.0,41.38410123966942,45.0,0.26785714285714285,0.20833333333333334,-0.1130952380952381,0.8511904761904762,0.9166666666666666
fold_02,rolling_7d,circular3_all,outer->core,core_outer,reverse,168,32.0,0.0,43.49756198347107,50.0,0.2976190476190476,0.19047619047619047,-0.19047619047619047,0.8630952380952381,1.0
fold_02,rolling_7d,hybrid_core_near_default,core->near,core_near,forward,168,192.0,175.0,352.67144264393323,373.0,2.2202380952380953,1.1369047619047619,-0.10119047619047619,0.5357142857142857,0.08333333333333333
fold_02,rolling_7d,hybrid_core_near_default,near->core,core_near,reverse,168,184.0,189.0,282.30041443864127,283.0,1.6845238095238095,1.0178571428571428,0.02976190476190476,0.4642857142857143,0.041666666666666664
fold_02,rolling_7d,hybrid_core_near_default,near->outer,near_outer,forward,168,57.0,35.0,108.13165289256197,114.0,0.6785714285714286,0.36904761904761907,-0.13095238095238096,0.7916666666666666,0.7916666666666666
fold_02,rolling_7d,hybrid_core_near_default,outer->near,near_outer,reverse,168,63.0,63.0,78.58967975206612,90.0,0.5357142857142857,0.4166666666666667,0.0,0.7202380952380952,0.625
fold_02,rolling_7d,hybrid_core_near_default,core->outer,core_outer,forward,168,33.0,14.0,41.38410123966942,45.0,0.26785714285714285,0.20833333333333334,-0.1130952380952381,0.8511904761904762,0.9166666666666666
fold_02,rolling_7d,hybrid_core_near_default,outer->core,core_outer,reverse,168,32.0,0.0,43.49756198347107,50.0,0.2976190476190476,0.19047619047619047,-0.19047619047619047,0.8630952380952381,1.0
fold_02,rolling_7d,hybrid_core_near_globalcv,core->near,core_near,forward,168,192.0,175.0,360.3691537853363,349.0,2.0773809523809526,1.0892857142857142,-0.10119047619047619,0.5357142857142857,0.125
fold_02,rolling_7d,hybrid_core_near_globalcv,near->core,core_near,reverse,168,184.0,196.0,282.386972377186,278.0,1.6547619047619047,1.0238095238095237,0.07142857142857142,0.4642857142857143,0.041666666666666664
fold_02,rolling_7d,hybrid_core_near_globalcv,near->outer,near_outer,forward,168,57.0,35.0,108.13165289256197,114.0,0.6785714285714286,0.36904761904761907,-0.13095238095238096,0.7916666666666666,0.7916666666666666
fold_02,rolling_7d,hybrid_core_near_globalcv,outer->near,near_outer,reverse,168,63.0,63.0,78.58967975206612,90.0,0.5357142857142857,0.4166666666666667,0.0,0.7202380952380952,0.625
fold_02,rolling_7d,hybrid_core_near_globalcv,core->outer,core_outer,forward,168,33.0,14.0,41.38410123966942,45.0,0.26785714285714285,0.20833333333333334,-0.1130952380952381,0.8511904761904762,0.9166666666666666
fold_02,rolling_7d,hybrid_core_near_globalcv,outer->core,core_outer,reverse,168,32.0,0.0,43.49756198347107,50.0,0.2976190476190476,0.19047619047619047,-0.19047619047619047,0.8630952380952381,1.0
fold_02,rolling_7d,hybrid_core_near_bypaircv,core->near,core_near,forward,168,192.0,168.0,366.77554870925815,380.0,2.261904761904762,1.1428571428571428,-0.14285714285714285,0.5357142857142857,0.125
fold_02,rolling_7d,hybrid_core_near_bypaircv,near->core,core_near,reverse,168,184.0,203.0,284.7411241253784,283.0,1.6845238095238095,1.0535714285714286,0.1130952380952381,0.4642857142857143,0.0
fold_02,rolling_7d,hybrid_core_near_bypaircv,near->outer,near_outer,forward,168,57.0,35.0,108.13165289256197,114.0,0.6785714285714286,0.36904761904761907,-0.13095238095238096,0.7916666666666666,0.7916666666666666
fold_02,rolling_7d,hybrid_core_near_bypaircv,outer->near,near_outer,reverse,168,63.0,63.0,78.58967975206612,90.0,0.5357142857142857,0.4166666666666667,0.0,0.7202380952380952,0.625
