evaluation_id,evaluation_type,method,pair,n_scored_rows,actual_total,predicted_total,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,zero_true_rate,zero_prediction_rate
fold_02,rolling_7d,hybrid_core_near_default,core_outer,336,65.0,14.0,84.88166322314049,95.0,0.28273809523809523,0.19940476190476192,-0.15178571428571427,0.8571428571428571,0.9583333333333334
fold_02,rolling_7d,hybrid_core_near_globalcv,core_near,336,376.0,371.0,642.7561261625224,627.0,1.8660714285714286,1.056547619047619,-0.01488095238095238,0.5,0.08333333333333333
fold_02,rolling_7d,hybrid_core_near_globalcv,near_outer,336,120.0,98.0,186.7213326446281,204.0,0.6071428571428571,0.39285714285714285,-0.06547619047619048,0.7559523809523809,0.7083333333333334
fold_02,rolling_7d,hybrid_core_near_globalcv,core_outer,336,65.0,14.0,84.88166322314049,95.0,0.28273809523809523,0.19940476190476192,-0.15178571428571427,0.8571428571428571,0.9583333333333334
fold_02,rolling_7d,hybrid_core_near_bypaircv,core_near,336,376.0,371.0,651.5166728346364,663.0,1.9732142857142858,1.0982142857142858,-0.01488095238095238,0.5,0.0625
fold_02,rolling_7d,hybrid_core_near_bypaircv,near_outer,336,120.0,98.0,186.7213326446281,204.0,0.6071428571428571,0.39285714285714285,-0.06547619047619048,0.7559523809523809,0.7083333333333334
fold_02,rolling_7d,hybrid_core_near_bypaircv,core_outer,336,65.0,14.0,84.88166322314049,95.0,0.28273809523809523,0.19940476190476192,-0.15178571428571427,0.8571428571428571,0.9583333333333334
fold_03,rolling_7d,circular3_all,core_near,336,358.0,378.0,590.7391744146005,614.0,1.8273809523809523,1.0476190476190477,0.05952380952380952,0.5178571428571429,0.08333333333333333
fold_03,rolling_7d,circular3_all,near_outer,336,118.0,84.0,181.328921315427,212.0,0.6309523809523809,0.39285714285714285,-0.10119047619047619,0.7559523809523809,0.75
fold_03,rolling_7d,circular3_all,core_outer,336,60.0,14.0,77.97060806932967,88.0,0.2619047619047619,0.19047619047619047,-0.13690476190476192,0.8660714285714286,0.9583333333333334
fold_03,rolling_7d,hybrid_core_near_default,core_near,336,358.0,364.0,599.7672961802928,626.0,1.8630952380952381,1.0416666666666667,0.017857142857142856,0.5178571428571429,0.10416666666666667
fold_03,rolling_7d,hybrid_core_near_default,near_outer,336,118.0,84.0,181.328921315427,212.0,0.6309523809523809,0.39285714285714285,-0.10119047619047619,0.7559523809523809,0.75
fold_03,rolling_7d,hybrid_core_near_default,core_outer,336,60.0,14.0,77.97060806932967,88.0,0.2619047619047619,0.19047619047619047,-0.13690476190476192,0.8660714285714286,0.9583333333333334
fold_03,rolling_7d,hybrid_core_near_globalcv,core_near,336,358.0,378.0,606.6261653161783,632.0,1.880952380952381,1.0714285714285714,0.05952380952380952,0.5178571428571429,0.0625
fold_03,rolling_7d,hybrid_core_near_globalcv,near_outer,336,118.0,84.0,181.328921315427,212.0,0.6309523809523809,0.39285714285714285,-0.10119047619047619,0.7559523809523809,0.75
fold_03,rolling_7d,hybrid_core_near_globalcv,core_outer,336,60.0,14.0,77.97060806932967,88.0,0.2619047619047619,0.19047619047619047,-0.13690476190476192,0.8660714285714286,0.9583333333333334
fold_03,rolling_7d,hybrid_core_near_bypaircv,core_near,336,358.0,378.0,600.5153148153868,632.0,1.880952380952381,1.0714285714285714,0.05952380952380952,0.5178571428571429,0.0625
fold_03,rolling_7d,hybrid_core_near_bypaircv,near_outer,336,118.0,84.0,181.328921315427,212.0,0.6309523809523809,0.39285714285714285,-0.10119047619047619,0.7559523809523809,0.75
fold_03,rolling_7d,hybrid_core_near_bypaircv,core_outer,336,60.0,14.0,77.97060806932967,88.0,0.2619047619047619,0.19047619047619047,-0.13690476190476192,0.8660714285714286,0.9583333333333334
fold_04,rolling_7d,circular3_all,core_near,336,359.0,392.0,577.1334905078895,607.0,1.806547619047619,1.056547619047619,0.09821428571428571,0.5119047619047619,0.0625
fold_04,rolling_7d,circular3_all,near_outer,336,123.0,105.0,179.1395309418146,204.0,0.6071428571428571,0.4107142857142857,-0.05357142857142857,0.7559523809523809,0.6875
