evaluation_id,evaluation_type,method,forecast_horizon,n_scored_rows,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded
fold_04,rolling_7d,circular3_all,1,144,149.0,1.0347222222222223,0.6041666666666666,0.11805555555555555
fold_04,rolling_7d,circular3_all,2,144,145.0,1.0069444444444444,0.5486111111111112,0.006944444444444444
fold_04,rolling_7d,circular3_all,3,144,114.0,0.7916666666666666,0.5138888888888888,-0.05555555555555555
fold_04,rolling_7d,circular3_all,4,144,131.0,0.9097222222222222,0.5625,-0.10416666666666667
fold_04,rolling_7d,circular3_all,5,144,137.0,0.9513888888888888,0.6041666666666666,-0.11805555555555555
fold_04,rolling_7d,circular3_all,6,144,102.0,0.7083333333333334,0.4861111111111111,0.08333333333333333
fold_04,rolling_7d,circular3_all,7,144,116.0,0.8055555555555556,0.5277777777777778,-0.1388888888888889
fold_04,rolling_7d,hybrid_core_near_default,1,144,143.0,0.9930555555555556,0.5902777777777778,0.09027777777777778
fold_04,rolling_7d,hybrid_core_near_default,2,144,137.0,0.9513888888888888,0.5347222222222222,-0.020833333333333332
fold_04,rolling_7d,hybrid_core_near_default,3,144,120.0,0.8333333333333334,0.5277777777777778,-0.08333333333333333
fold_04,rolling_7d,hybrid_core_near_default,4,144,129.0,0.8958333333333334,0.5486111111111112,-0.13194444444444445
fold_04,rolling_7d,hybrid_core_near_default,5,144,139.0,0.9652777777777778,0.5902777777777778,-0.14583333333333334
fold_04,rolling_7d,hybrid_core_near_default,6,144,100.0,0.6944444444444444,0.4722222222222222,0.05555555555555555
fold_04,rolling_7d,hybrid_core_near_default,7,144,120.0,0.8333333333333334,0.5416666666666666,-0.16666666666666666
fold_04,rolling_7d,hybrid_core_near_globalcv,1,144,143.0,0.9930555555555556,0.5902777777777778,0.10416666666666667
fold_04,rolling_7d,hybrid_core_near_globalcv,2,144,141.0,0.9791666666666666,0.5486111111111112,-0.006944444444444444
fold_04,rolling_7d,hybrid_core_near_globalcv,3,144,120.0,0.8333333333333334,0.5277777777777778,-0.06944444444444445
fold_04,rolling_7d,hybrid_core_near_globalcv,4,144,133.0,0.9236111111111112,0.5625,-0.11805555555555555
fold_04,rolling_7d,hybrid_core_near_globalcv,5,144,135.0,0.9375,0.5902777777777778,-0.13194444444444445
fold_04,rolling_7d,hybrid_core_near_globalcv,6,144,102.0,0.7083333333333334,0.4861111111111111,0.06944444444444445
fold_04,rolling_7d,hybrid_core_near_globalcv,7,144,122.0,0.8472222222222222,0.5416666666666666,-0.1527777777777778
fold_04,rolling_7d,hybrid_core_near_bypaircv,1,144,141.0,0.9791666666666666,0.5763888888888888,0.10416666666666667
fold_04,rolling_7d,hybrid_core_near_bypaircv,2,144,143.0,0.9930555555555556,0.5625,-0.006944444444444444
fold_04,rolling_7d,hybrid_core_near_bypaircv,3,144,124.0,0.8611111111111112,0.5416666666666666,-0.06944444444444445
fold_04,rolling_7d,hybrid_core_near_bypaircv,4,144,137.0,0.9513888888888888,0.5763888888888888,-0.11805555555555555
fold_04,rolling_7d,hybrid_core_near_bypaircv,5,144,135.0,0.9375,0.5902777777777778,-0.13194444444444445
fold_04,rolling_7d,hybrid_core_near_bypaircv,6,144,102.0,0.7083333333333334,0.4861111111111111,0.06944444444444445
fold_04,rolling_7d,hybrid_core_near_bypaircv,7,144,120.0,0.8333333333333334,0.5277777777777778,-0.1527777777777778
fold_05,rolling_7d,circular3_all,1,144,142.0,0.9861111111111112,0.5555555555555556,0.0
fold_05,rolling_7d,circular3_all,2,144,117.0,0.8125,0.5208333333333334,-0.0625
fold_05,rolling_7d,circular3_all,3,144,134.0,0.9305555555555556,0.5694444444444444,-0.1111111111111111
fold_05,rolling_7d,circular3_all,4,144,136.0,0.9444444444444444,0.5972222222222222,-0.125
fold_05,rolling_7d,circular3_all,5,144,103.0,0.7152777777777778,0.4930555555555556,0.0763888888888889
fold_05,rolling_7d,circular3_all,6,144,119.0,0.8263888888888888,0.5625,-0.14583333333333334
fold_05,rolling_7d,circular3_all,7,144,151.0,1.0486111111111112,0.6041666666666666,-0.11805555555555555
fold_05,rolling_7d,hybrid_core_near_default,1,144,143.0,0.9930555555555556,0.5625,-0.006944444444444444
fold_05,rolling_7d,hybrid_core_near_default,2,144,114.0,0.7916666666666666,0.5138888888888888,-0.06944444444444445
fold_05,rolling_7d,hybrid_core_near_default,3,144,133.0,0.9236111111111112,0.5625,-0.11805555555555555
fold_05,rolling_7d,hybrid_core_near_default,4,144,135.0,0.9375,0.5902777777777778,-0.13194444444444445
fold_05,rolling_7d,hybrid_core_near_default,5,144,106.0,0.7361111111111112,0.5,0.06944444444444445
fold_05,rolling_7d,hybrid_core_near_default,6,144,122.0,0.8472222222222222,0.5555555555555556,-0.1527777777777778
fold_05,rolling_7d,hybrid_core_near_default,7,144,148.0,1.0277777777777777,0.5972222222222222,-0.125
fold_05,rolling_7d,hybrid_core_near_globalcv,1,144,146.0,1.0138888888888888,0.5694444444444444,0.0
fold_05,rolling_7d,hybrid_core_near_globalcv,2,144,111.0,0.7708333333333334,0.5069444444444444,-0.0625
fold_05,rolling_7d,hybrid_core_near_globalcv,3,144,128.0,0.8888888888888888,0.5555555555555556,-0.1111111111111111
fold_05,rolling_7d,hybrid_core_near_globalcv,4,144,136.0,0.9444444444444444,0.5972222222222222,-0.125
fold_05,rolling_7d,hybrid_core_near_globalcv,5,144,107.0,0.7430555555555556,0.5069444444444444,0.0763888888888889
fold_05,rolling_7d,hybrid_core_near_globalcv,6,144,121.0,0.8402777777777778,0.5486111111111112,-0.14583333333333334
fold_05,rolling_7d,hybrid_core_near_globalcv,7,144,149.0,1.0347222222222223,0.6041666666666666,-0.11805555555555555
fold_05,rolling_7d,hybrid_core_near_bypaircv,1,144,146.0,1.0138888888888888,0.5694444444444444,0.0
fold_05,rolling_7d,hybrid_core_near_bypaircv,2,144,111.0,0.7708333333333334,0.5069444444444444,-0.0625
fold_05,rolling_7d,hybrid_core_near_bypaircv,3,144,128.0,0.8888888888888888,0.5555555555555556,-0.1111111111111111
fold_05,rolling_7d,hybrid_core_near_bypaircv,4,144,136.0,0.9444444444444444,0.5972222222222222,-0.125
fold_05,rolling_7d,hybrid_core_near_bypaircv,5,144,107.0,0.7430555555555556,0.5069444444444444,0.0763888888888889
fold_05,rolling_7d,hybrid_core_near_bypaircv,6,144,121.0,0.8402777777777778,0.5486111111111112,-0.14583333333333334
fold_05,rolling_7d,hybrid_core_near_bypaircv,7,144,149.0,1.0347222222222223,0.6041666666666666,-0.11805555555555555
fold_06,rolling_7d,circular3_all,1,144,117.0,0.8125,0.5208333333333334,-0.0763888888888889
fold_06,rolling_7d,circular3_all,2,144,130.0,0.9027777777777778,0.5555555555555556,-0.125
fold_06,rolling_7d,circular3_all,3,144,142.0,0.9861111111111112,0.6111111111111112,-0.1388888888888889
fold_06,rolling_7d,circular3_all,4,144,99.0,0.6875,0.4791666666666667,0.0625
fold_06,rolling_7d,circular3_all,5,144,119.0,0.8263888888888888,0.5625,-0.1597222222222222
fold_06,rolling_7d,circular3_all,6,144,145.0,1.0069444444444444,0.5902777777777778,-0.13194444444444445
fold_06,rolling_7d,circular3_all,7,144,98.0,0.6805555555555556,0.5138888888888888,0.125
fold_06,rolling_7d,hybrid_core_near_default,1,144,119.0,0.8263888888888888,0.5208333333333334,-0.09027777777777778
fold_06,rolling_7d,hybrid_core_near_default,2,144,136.0,0.9444444444444444,0.5555555555555556,-0.1388888888888889
fold_06,rolling_7d,hybrid_core_near_default,3,144,134.0,0.9305555555555556,0.5972222222222222,-0.1527777777777778
fold_06,rolling_7d,hybrid_core_near_default,4,144,99.0,0.6875,0.4791666666666667,0.04861111111111111
fold_06,rolling_7d,hybrid_core_near_default,5,144,123.0,0.8541666666666666,0.5486111111111112,-0.1736111111111111
fold_06,rolling_7d,hybrid_core_near_default,6,144,141.0,0.9791666666666666,0.5763888888888888,-0.14583333333333334
fold_06,rolling_7d,hybrid_core_near_default,7,144,104.0,0.7222222222222222,0.5277777777777778,0.1111111111111111
fold_06,rolling_7d,hybrid_core_near_globalcv,1,144,116.0,0.8055555555555556,0.5277777777777778,-0.06944444444444445
fold_06,rolling_7d,hybrid_core_near_globalcv,2,144,131.0,0.9097222222222222,0.5486111111111112,-0.11805555555555555
fold_06,rolling_7d,hybrid_core_near_globalcv,3,144,135.0,0.9375,0.5902777777777778,-0.13194444444444445
fold_06,rolling_7d,hybrid_core_near_globalcv,4,144,106.0,0.7361111111111112,0.5,0.06944444444444445
fold_06,rolling_7d,hybrid_core_near_globalcv,5,144,122.0,0.8472222222222222,0.5555555555555556,-0.1527777777777778
fold_06,rolling_7d,hybrid_core_near_globalcv,6,144,146.0,1.0138888888888888,0.5833333333333334,-0.125
fold_06,rolling_7d,hybrid_core_near_globalcv,7,144,101.0,0.7013888888888888,0.5208333333333334,0.13194444444444445
fold_06,rolling_7d,hybrid_core_near_bypaircv,1,144,116.0,0.8055555555555556,0.5277777777777778,-0.06944444444444445
fold_06,rolling_7d,hybrid_core_near_bypaircv,2,144,131.0,0.9097222222222222,0.5486111111111112,-0.11805555555555555
fold_06,rolling_7d,hybrid_core_near_bypaircv,3,144,135.0,0.9375,0.5902777777777778,-0.13194444444444445
fold_06,rolling_7d,hybrid_core_near_bypaircv,4,144,106.0,0.7361111111111112,0.5,0.06944444444444445
fold_06,rolling_7d,hybrid_core_near_bypaircv,5,144,122.0,0.8472222222222222,0.5555555555555556,-0.1527777777777778
fold_06,rolling_7d,hybrid_core_near_bypaircv,6,144,146.0,1.0138888888888888,0.5833333333333334,-0.125
fold_06,rolling_7d,hybrid_core_near_bypaircv,7,144,101.0,0.7013888888888888,0.5208333333333334,0.13194444444444445
fold_07,rolling_7d,circular3_all,1,144,131.0,0.9097222222222222,0.5625,-0.11805555555555555
fold_07,rolling_7d,circular3_all,2,144,141.0,0.9791666666666666,0.6041666666666666,-0.13194444444444445
fold_07,rolling_7d,circular3_all,3,144,102.0,0.7083333333333334,0.5,0.06944444444444445
fold_07,rolling_7d,circular3_all,4,144,122.0,0.8472222222222222,0.5555555555555556,-0.1527777777777778
