evaluation_id,evaluation_type,method,n_prediction_rows,n_scored_rows,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,actual_total,predicted_total,rolling_rank
fold_03,rolling_7d,hybrid_core_near_bypaircv,1008,1008,859.8148442001435,932.0,0.9246031746031746,0.5515873015873016,-0.05952380952380952,536.0,476.0,3.0
fold_03,rolling_7d,hybrid_core_near_default,1008,1008,859.0668255650496,926.0,0.9186507936507936,0.5416666666666666,-0.07341269841269842,536.0,462.0,2.0
fold_03,rolling_7d,hybrid_core_near_globalcv,1008,1008,865.9256947009351,932.0,0.9246031746031746,0.5515873015873016,-0.05952380952380952,536.0,476.0,3.0
fold_04,rolling_7d,circular3_all,1008,1008,829.8080775394477,894.0,0.8869047619047619,0.5496031746031746,-0.02976190476190476,541.0,511.0,2.0
fold_04,rolling_7d,hybrid_core_near_bypaircv,1008,1008,845.7019989980581,902.0,0.8948412698412699,0.5515873015873016,-0.04365079365079365,541.0,497.0,4.0
fold_04,rolling_7d,hybrid_core_near_default,1008,1008,833.9015738439316,888.0,0.8809523809523809,0.5436507936507936,-0.057539682539682536,541.0,483.0,1.0
fold_04,rolling_7d,hybrid_core_near_globalcv,1008,1008,838.8847445765232,896.0,0.8888888888888888,0.5496031746031746,-0.04365079365079365,541.0,497.0,3.0
fold_05,rolling_7d,circular3_all,1008,1008,849.951262679628,902.0,0.8948412698412699,0.5575396825396826,-0.06944444444444445,574.0,504.0,4.0
fold_05,rolling_7d,hybrid_core_near_bypaircv,1008,1008,847.4603253922992,898.0,0.8908730158730159,0.5555555555555556,-0.06944444444444445,574.0,504.0,1.0
fold_05,rolling_7d,hybrid_core_near_default,1008,1008,845.5846006512392,901.0,0.8938492063492064,0.5545634920634921,-0.0763888888888889,574.0,497.0,3.0
fold_05,rolling_7d,hybrid_core_near_globalcv,1008,1008,847.4603253922992,898.0,0.8908730158730159,0.5555555555555556,-0.06944444444444445,574.0,504.0,1.0
fold_06,rolling_7d,circular3_all,1008,1008,785.0217261904762,850.0,0.8432539682539683,0.5476190476190477,-0.06349206349206349,554.0,490.0,1.0
fold_06,rolling_7d,hybrid_core_near_bypaircv,1008,1008,794.9312860744892,857.0,0.8501984126984127,0.5466269841269841,-0.05654761904761905,554.0,497.0,3.0
fold_06,rolling_7d,hybrid_core_near_default,1008,1008,793.8617307768354,856.0,0.8492063492063492,0.5436507936507936,-0.07738095238095238,554.0,476.0,2.0
fold_06,rolling_7d,hybrid_core_near_globalcv,1008,1008,794.9312860744892,857.0,0.8501984126984127,0.5466269841269841,-0.05654761904761905,554.0,497.0,3.0
fold_07,rolling_7d,circular3_all,1008,1008,773.830546875,853.0,0.8462301587301587,0.5525793650793651,-0.0625,560.0,497.0,4.0
fold_07,rolling_7d,hybrid_core_near_bypaircv,1008,1008,771.997899590087,848.0,0.8412698412698413,0.5515873015873016,-0.05555555555555555,560.0,504.0,2.0
fold_07,rolling_7d,hybrid_core_near_default,1008,1008,773.9116352517549,843.0,0.8363095238095238,0.5426587301587301,-0.0763888888888889,560.0,483.0,1.0
fold_07,rolling_7d,hybrid_core_near_globalcv,1008,1008,772.5647701409407,850.0,0.8432539682539683,0.5496031746031746,-0.05555555555555555,560.0,504.0,3.0
fold_08,rolling_7d,circular3_all,1008,1002,824.2534939987024,897.0,0.8952095808383234,0.5399201596806387,-0.07684630738522955,558.0,481.0,3.0
fold_08,rolling_7d,hybrid_core_near_bypaircv,1008,1002,833.1827597802586,894.0,0.8922155688622755,0.5389221556886228,-0.06986027944111776,558.0,488.0,2.0
fold_08,rolling_7d,hybrid_core_near_default,1008,1002,836.3488563636248,893.0,0.8912175648702595,0.5299401197604791,-0.09081836327345309,558.0,467.0,1.0
fold_08,rolling_7d,hybrid_core_near_globalcv,1008,1002,834.3356569840381,898.0,0.8962075848303394,0.5369261477045908,-0.06986027944111776,558.0,488.0,4.0
