subset,source_region,target_region,task_key,n_days,n_hour_rows,total_flow,mean_hourly_flow,variance_hourly_flow,variance_to_mean_ratio,zero_hour_rate,mean_source_present,mean_source_linkable,mean_pair_rate_among_present,mean_pair_rate_among_linkable,pearson_hourly_source_present,spearman_hourly_source_present,pearson_hourly_source_linkable,spearman_hourly_source_linkable,pearson_daily_vessels,spearman_daily_vessels,pearson_daily_source_present,spearman_daily_source_present
normal_post_recovery,near,core,near->core,6,144,156.0,1.0833333333333333,1.8391608391608392,1.6976869284561593,0.4166666666666667,23.92361111111111,23.243055555555557,0.04231001464514856,0.043795151523397226,0.33396129093687116,0.31948978048547527,0.3243770559117099,0.31387653106738067,-0.25603004262093804,-0.29424494316824984,0.32793481215629444,0.08571428571428573
normal_post_recovery,near,outer,near->outer,6,144,44.0,0.3055555555555556,0.4234654234654235,1.3858868404322948,0.7777777777777778,23.92361111111111,23.243055555555557,0.012505867456141195,0.013542234579544296,0.12692535109175712,0.07632965944480957,0.11259482909054569,0.07570843213029523,0.1313064328597226,0.07575757575757573,-0.020875719098431042,0.0
normal_post_recovery,outer,core,outer->core,6,144,29.0,0.2013888888888889,0.2179001554001554,1.0819869785387026,0.8263888888888888,4.902777777777778,4.638888888888889,0.0388640873015873,0.04049548059964726,0.1602875256635372,0.17359296365305749,0.1699321164319616,0.17842496497716265,-0.16629639078130867,0.06356417261637282,0.13192490655211864,0.18516401995451032
normal_post_recovery,outer,near,outer->near,6,144,51.0,0.3541666666666667,0.5939685314685315,1.6770876182640888,0.7708333333333334,4.902777777777778,4.638888888888889,0.05648974867724868,0.058038470017636686,0.4955587063392485,0.4483101439805638,0.5260802977894882,0.4782663206995052,0.6662972348649124,0.7463517925331651,0.688961951651357,0.46381682852195877
normal_pre_outage,core,near,core->near,11,264,279.0,1.0568181818181819,2.15265295540961,2.036918925548878,0.5075757575757576,12.537878787878787,12.488636363636363,0.08413227806830045,0.08438096666926177,0.16121948759287613,0.12142535500196058,0.165538465867996,0.12528446214936448,-0.15460246851079903,-0.09174698042719671,-0.008102908382972125,0.05922566618516668
normal_pre_outage,core,outer,core->outer,11,264,56.0,0.21212121212121213,0.2666205784076507,1.2569255839217819,0.8295454545454546,12.537878787878787,12.488636363636363,0.01868850475133898,0.018822761277640956,-0.03538284567759509,-0.0426249535311905,-0.04497768514178504,-0.048555775306043956,-0.14691455950511145,-0.21911957688857991,-0.5217054907577744,-0.5255136515236329
normal_pre_outage,near,core,near->core,11,264,293.0,1.1098484848484849,1.9612714598456045,1.76715244163563,0.45454545454545453,26.522727272727273,26.113636363636363,0.039896945129563134,0.04045821800563844,0.38989403523630634,0.4035592258286552,0.4013989473423764,0.4040189773085947,-0.3829601908089096,-0.21247169826491577,-0.5535160416423737,-0.39817871919184755
normal_pre_outage,near,outer,near->outer,11,264,96.0,0.36363636363636365,0.5364673349464223,1.4752851711026613,0.7386363636363636,26.522727272727273,26.113636363636363,0.012801507583125487,0.012966677861491888,0.34568137295015366,0.3092927084967296,0.353983617495533,0.3149366275156806,0.10945099043117286,-0.06496537207879886,0.26580874789005504,0.08276408817690652
normal_pre_outage,outer,core,outer->core,11,264,46.0,0.17424242424242425,0.21287014633022242,1.221689535460407,0.8560606060606061,5.8143939393939394,5.526515151515151,0.027344877344877342,0.028485750360750357,0.24039877805688306,0.20080420384366415,0.25289031519027355,0.21146822829909903,-0.22037330614641984,-0.28905135674663734,0.42364291865416565,0.3125301451792531
normal_pre_outage,outer,near,outer->near,11,264,111.0,0.42045454545454547,0.5944089180781196,1.4137293186722844,0.7007575757575758,5.8143939393939394,5.526515151515151,0.06395652958152957,0.06778799903799904,0.4019981070287957,0.33579113872619826,0.4039684963186413,0.32223194030689517,-0.2790196803008888,-0.47178209756024814,-0.14263368929663892,-0.22489899383695006
normal_weekday,core,near,core->near,13,312,334.0,1.0705128205128205,2.1815071316679036,2.037815045150856,0.5096153846153846,12.384615384615385,12.246794871794872,0.08525743302513068,0.08553897128743818,0.1682353998650922,0.12542518476375517,0.17913693733957856,0.13029003402673145,-0.1658446434519583,-0.09847670917389112,-0.0005888084357301792,-0.11862080249308814
normal_weekday,core,outer,core->outer,13,312,70.0,0.22435897435897437,0.2839063401764366,1.2654111162149746,0.8205128205128205,12.384615384615385,12.246794871794872,0.0197829115956944,0.019925650800933604,-0.019217095469093833,-0.04634109007810846,-0.01253673376111223,-0.04944956683972488,0.10664286868125053,0.15244770154802298,-0.4360880057517902,-0.4687178704858144
normal_weekday,near,core,near->core,13,312,347.0,1.1121794871794872,2.0098833374556846,1.8071573524097222,0.44551282051282054,24.990384615384617,24.432692307692307,0.04166639608070607,0.0426790782580572,0.38414477582149786,0.4107593833043069,0.3734945803665343,0.40721827922613957,-0.0857497693309993,-0.03496506916239059,0.130695291382189,-0.03051461432566711
