source_configuration,subset,component,n_hour_rows,full_total,ablated_total,retained_total_ratio,sse_against_full,mae_against_full,mean_bias_against_full,exact_match_rate
without_china_coastal,degraded_period,core->near,168,192.0,194.0,1.0104166666666667,6.0,0.023809523809523808,0.011904761904761904,0.9821428571428571
without_china_coastal,degraded_period,core->outer,168,33.0,32.0,0.9696969696969697,1.0,0.005952380952380952,-0.005952380952380952,0.9940476190476191
without_china_coastal,degraded_period,near->core,168,184.0,186.0,1.0108695652173914,6.0,0.023809523809523808,0.011904761904761904,0.9821428571428571
without_china_coastal,degraded_period,near->outer,168,57.0,57.0,1.0,2.0,0.011904761904761904,0.0,0.9880952380952381
without_china_coastal,degraded_period,outer->core,168,32.0,32.0,1.0,0.0,0.0,0.0,1.0
without_china_coastal,degraded_period,outer->near,168,63.0,63.0,1.0,6.0,0.03571428571428571,0.0,0.9642857142857143
without_china_coastal,post_recovery,overall,864,468.0,466.0,0.9957264957264957,138.0,0.14351851851851852,-0.0023148148148148147,0.8645833333333334
without_china_coastal,post_recovery,core->near,144,153.0,154.0,1.0065359477124183,51.0,0.2986111111111111,0.006944444444444444,0.7291666666666666
without_china_coastal,post_recovery,core->outer,144,35.0,31.0,0.8857142857142857,10.0,0.06944444444444445,-0.027777777777777776,0.9305555555555556
without_china_coastal,post_recovery,near->core,144,156.0,155.0,0.9935897435897436,45.0,0.2708333333333333,-0.006944444444444444,0.75
without_china_coastal,post_recovery,near->outer,144,44.0,47.0,1.0681818181818181,17.0,0.11805555555555555,0.020833333333333332,0.8819444444444444
without_china_coastal,post_recovery,outer->core,144,29.0,27.0,0.9310344827586207,8.0,0.05555555555555555,-0.013888888888888888,0.9444444444444444
without_china_coastal,post_recovery,outer->near,144,51.0,52.0,1.0196078431372548,7.0,0.04861111111111111,0.006944444444444444,0.9513888888888888
without_e_globe_daily,all,overall,3456,1910.0,1857.0,0.9722513089005236,325.0,0.07725694444444445,-0.015335648148148149,0.9308449074074074
without_e_globe_daily,all,core->near,576,624.0,620.0,0.9935897435897436,96.0,0.13541666666666666,-0.006944444444444444,0.8802083333333334
without_e_globe_daily,all,core->outer,576,124.0,118.0,0.9516129032258065,14.0,0.024305555555555556,-0.010416666666666666,0.9756944444444444
without_e_globe_daily,all,near->core,576,633.0,620.0,0.9794628751974723,115.0,0.14756944444444445,-0.022569444444444444,0.8767361111111112
without_e_globe_daily,all,near->outer,576,197.0,185.0,0.9390862944162437,50.0,0.0763888888888889,-0.020833333333333332,0.9288194444444444
without_e_globe_daily,all,outer->core,576,107.0,101.0,0.9439252336448598,16.0,0.024305555555555556,-0.010416666666666666,0.9774305555555556
without_e_globe_daily,all,outer->near,576,225.0,213.0,0.9466666666666667,34.0,0.05555555555555555,-0.020833333333333332,0.9461805555555556
without_e_globe_daily,pre_outage,overall,1584,881.0,837.0,0.9500567536889898,66.0,0.03787878787878788,-0.027777777777777776,0.9640151515151515
without_e_globe_daily,pre_outage,core->near,264,279.0,271.0,0.9713261648745519,16.0,0.05303030303030303,-0.030303030303030304,0.9507575757575758
without_e_globe_daily,pre_outage,core->outer,264,56.0,55.0,0.9821428571428571,1.0,0.003787878787878788,-0.003787878787878788,0.9962121212121212
without_e_globe_daily,pre_outage,near->core,264,293.0,276.0,0.9419795221843004,23.0,0.07196969696969698,-0.06439393939393939,0.9356060606060606
without_e_globe_daily,pre_outage,near->outer,264,96.0,87.0,0.90625,13.0,0.04924242424242424,-0.03409090909090909,0.9507575757575758
without_e_globe_daily,pre_outage,outer->core,264,46.0,46.0,1.0,2.0,0.007575757575757576,0.0,0.9924242424242424
without_e_globe_daily,pre_outage,outer->near,264,111.0,102.0,0.918918918918919,11.0,0.041666666666666664,-0.03409090909090909,0.9583333333333334
without_e_globe_daily,degraded_period,overall,1008,561.0,557.0,0.9928698752228164,234.0,0.18055555555555555,-0.003968253968253968,0.8442460317460317
without_e_globe_daily,degraded_period,core->near,168,192.0,195.0,1.015625,71.0,0.3273809523809524,0.017857142857142856,0.7202380952380952
without_e_globe_daily,degraded_period,core->outer,168,33.0,30.0,0.9090909090909091,11.0,0.06547619047619048,-0.017857142857142856,0.9345238095238095
