group,source_region,target_region,task_key,hour,n_days,n_days_with_positive_daily_flow,mean_hourly_flow,median_hourly_flow,std_hourly_flow,zero_rate,mean_daily_profile_share,median_daily_profile_share,mean_pair_rate_among_linkable,median_pair_rate_among_linkable
normal_post_recovery,core,outer,core->outer,2,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.027777777777777776,0.0,0.011111111111111112,0.0
normal_post_recovery,core,outer,core->outer,3,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.042328042328042326,0.0,0.025641025641025644,0.0
normal_post_recovery,core,outer,core->outer,4,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,core,outer,core->outer,5,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,core,outer,core->outer,6,6,3,1.1666666666666667,0.5,1.4719601443879744,0.5,0.16865079365079363,0.125,0.07648809523809523,0.03571428571428571
normal_post_recovery,core,outer,core->outer,7,6,2,0.5,0.0,0.8366600265340756,0.6666666666666666,0.06084656084656084,0.0,0.05092592592592592,0.0
normal_post_recovery,core,outer,core->outer,8,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.027777777777777776,0.0,0.013888888888888888,0.0
normal_post_recovery,core,outer,core->outer,9,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,core,outer,core->outer,10,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.047619047619047616,0.0,0.02393162393162393,0.0
normal_post_recovery,core,outer,core->outer,11,6,3,0.5,0.5,0.5477225575051661,0.5,0.12962962962962962,0.05555555555555555,0.046130952380952384,0.03125
normal_post_recovery,core,outer,core->outer,12,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.05158730158730159,0.0,0.030555555555555558,0.0
normal_post_recovery,core,outer,core->outer,13,6,1,0.5,0.0,1.224744871391589,0.8333333333333334,0.07142857142857142,0.0,0.038461538461538464,0.0
normal_post_recovery,core,outer,core->outer,14,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.023809523809523808,0.0,0.016666666666666666,0.0
normal_post_recovery,core,outer,core->outer,15,6,2,0.5,0.0,0.8366600265340756,0.6666666666666666,0.0787037037037037,0.0,0.041666666666666664,0.0
normal_post_recovery,core,outer,core->outer,16,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,core,outer,core->outer,17,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,core,outer,core->outer,18,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,core,outer,core->outer,19,6,4,0.6666666666666666,1.0,0.5163977794943223,0.3333333333333333,0.15873015873015872,0.14285714285714285,0.050293456543456544,0.06696428571428571
normal_post_recovery,core,outer,core->outer,20,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.041666666666666664,0.0,0.010416666666666666,0.0
normal_post_recovery,core,outer,core->outer,21,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,core,outer,core->outer,22,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,core,outer,core->outer,23,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.06944444444444443,0.0,0.029629629629629627,0.0
normal_post_recovery,near,core,near->core,0,6,5,1.6666666666666667,1.5,1.3662601021279464,0.16666666666666666,0.058021291573923155,0.05661881977671451,0.08414423740510697,0.08695652173913043
normal_post_recovery,near,core,near->core,1,6,2,0.5,0.0,0.8366600265340756,0.6666666666666666,0.016511266511266512,0.0,0.023923444976076555,0.0
normal_post_recovery,near,core,near->core,2,6,3,0.8333333333333334,0.5,0.983192080250175,0.5,0.02692793317793318,0.019230769230769232,0.037024379129642286,0.022727272727272728
normal_post_recovery,near,core,near->core,3,6,3,0.8333333333333334,0.5,1.1690451944500122,0.5,0.029475732600732597,0.015625,0.034252549651100375,0.018518518518518517
normal_post_recovery,near,core,near->core,4,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.005208333333333333,0.0,0.005952380952380952,0.0
normal_post_recovery,near,core,near->core,5,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.005208333333333333,0.0,0.006172839506172839,0.0
normal_post_recovery,near,core,near->core,6,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.011618589743589744,0.0,0.012619047619047618,0.0
normal_post_recovery,near,core,near->core,7,6,4,1.5,1.5,1.51657508881031,0.3333333333333333,0.059382229612492766,0.054086538461538464,0.06376738729679905,0.05555555555555555
normal_post_recovery,near,core,near->core,8,6,4,1.0,1.0,1.0954451150103321,0.3333333333333333,0.04755259360522518,0.03300865800865801,0.040396825396825396,0.04380952380952381
normal_post_recovery,near,core,near->core,9,6,3,1.0,0.5,1.2649110640673518,0.5,0.03810370915634074,0.02631578947368421,0.044395711500974655,0.025
normal_post_recovery,near,core,near->core,10,6,4,1.0,1.0,0.8944271909999159,0.3333333333333333,0.0421124623427255,0.043402777777777776,0.04577951288477603,0.03708791208791209
normal_post_recovery,near,core,near->core,11,6,3,1.3333333333333333,0.5,1.7511900715418265,0.5,0.04854867354867356,0.015151515151515152,0.048611111111111105,0.027777777777777776
normal_post_recovery,near,core,near->core,12,6,4,1.1666666666666667,1.0,1.1690451944500122,0.3333333333333333,0.0505570818070818,0.03708791208791209,0.041354679802955666,0.03785714285714285
