date,source_region,daily_outflow,daily_destination_1,daily_destination_2,destination_1_share,mean_present_stock,mean_linkable_stock,mean_present_outflow_rate,mean_linkable_outflow_rate,is_normal_date,day_type
2018-01-06,near,30.0,15.0,15.0,0.5,30.333333333333332,29.875,0.03903180035417448,0.0395339410682064,True,weekend
2018-01-06,outer,15.0,4.0,11.0,0.26666666666666666,5.166666666666667,4.791666666666667,0.10069444444444443,0.1087962962962963,True,weekend
2018-01-07,core,34.0,30.0,4.0,0.8823529411764706,13.625,13.625,0.10090595678830973,0.10090595678830973,True,weekend
2018-01-07,near,35.0,29.0,6.0,0.8285714285714286,24.791666666666668,24.625,0.05536598097286503,0.05592579454898295,True,weekend
2018-01-07,outer,10.0,2.0,8.0,0.2,6.958333333333333,6.458333333333333,0.054381613756613746,0.06040013227513227,True,weekend
2018-01-08,core,24.0,19.0,5.0,0.7916666666666666,13.583333333333334,13.541666666666666,0.07153736786089727,0.07153736786089727,True,weekday
2018-01-08,near,23.0,18.0,5.0,0.782608695652174,27.875,27.541666666666668,0.03282809748512381,0.03312601740669965,True,weekday
2018-01-08,outer,15.0,5.0,10.0,0.3333333333333333,6.541666666666667,6.25,0.08177910052910053,0.08720238095238093,True,weekday
2018-01-09,core,31.0,21.0,10.0,0.6774193548387096,11.458333333333334,11.416666666666666,0.10898742461242461,0.10974500037000039,True,weekday
2018-01-09,near,41.0,30.0,11.0,0.7317073170731707,26.625,26.083333333333332,0.059891699051645285,0.06047440640065699,True,weekday
2018-01-09,outer,18.0,6.0,12.0,0.3333333333333333,6.208333333333333,5.958333333333333,0.09985119047619047,0.1039021164021164,True,weekday
2018-01-10,core,38.0,32.0,6.0,0.8421052631578947,11.875,11.791666666666666,0.1321178821178821,0.13280469530469532,True,weekday
2018-01-10,near,36.0,32.0,4.0,0.8888888888888888,26.333333333333332,25.625,0.05400303363004976,0.054889026454760716,True,weekday
2018-01-10,outer,8.0,3.0,5.0,0.375,6.291666666666667,6.041666666666667,0.04662698412698413,0.047371031746031744,True,weekday
2018-01-11,core,33.0,27.0,6.0,0.8181818181818182,10.208333333333334,10.208333333333334,0.1564607845857846,0.1564607845857846,True,weekday
2018-01-11,near,38.0,27.0,11.0,0.7105263157894737,26.083333333333332,25.375,0.05661445198341821,0.05785183510756208,True,weekday
2018-01-11,outer,17.0,6.0,11.0,0.35294117647058826,7.083333333333333,6.875,0.08442460317460317,0.08581349206349205,True,weekday
2018-01-12,core,34.0,26.0,8.0,0.7647058823529411,13.083333333333334,12.958333333333334,0.10534251628001627,0.10587670431420432,False,weekday
2018-01-12,near,38.0,31.0,7.0,0.8157894736842105,24.291666666666668,23.541666666666668,0.06173448608418624,0.06327398355665471,False,weekday
2018-01-12,outer,14.0,4.0,10.0,0.2857142857142857,6.458333333333333,5.875,0.08406130906130906,0.09426406926406927,False,weekday
2018-01-13,core,36.0,27.0,9.0,0.75,11.708333333333334,11.666666666666666,0.12439805564805566,0.12462699337699339,False,weekend
2018-01-13,near,37.0,28.0,9.0,0.7567567567567568,24.875,24.25,0.058761733874802345,0.060218891379873386,False,weekend
2018-01-13,outer,15.0,4.0,11.0,0.26666666666666666,7.25,7.0,0.07198310948310949,0.07441366503866503,False,weekend
