source_region,hour,destination_1,destination_2,n_positive_outflow_cells,total_outflow,destination_1_total,destination_2_total,destination_1_share,share_standard_error,share_distance_from_global,is_global_row
core,23,near,outer,13,29.0,24.0,5.0,0.8275862068965517,0.0701445003745666,0.006638392033929574,False
near,all,core,outer,362,830.0,633.0,197.0,0.7626506024096386,0.014767868941622297,0.0,True
near,0,core,outer,11,31.0,26.0,5.0,0.8387096774193549,0.0660585650285281,0.07605907500971631,False
near,1,core,outer,5,8.0,4.0,4.0,0.5,0.1767766952966369,0.26265060240963856,False
near,2,core,outer,10,17.0,16.0,1.0,0.9411764705882353,0.05706720589090188,0.17852586817859672,False
near,3,core,outer,17,36.0,26.0,10.0,0.7222222222222222,0.07465053470646806,0.040428380187416346,False
near,4,core,outer,13,21.0,17.0,4.0,0.8095238095238095,0.08568908674689879,0.04687320711417098,False
near,5,core,outer,7,15.0,13.0,2.0,0.8666666666666667,0.0877707451472511,0.10401606425702814,False
near,6,core,outer,11,14.0,11.0,3.0,0.7857142857142857,0.10966421051124836,0.023063683304647142,False
near,7,core,outer,19,52.0,38.0,14.0,0.7307692307692307,0.06151071859849643,0.03188137164040783,False
near,8,core,outer,18,59.0,38.0,21.0,0.6440677966101694,0.062333774883160976,0.11858280579946912,False
near,9,core,outer,19,38.0,24.0,14.0,0.631578947368421,0.07825178333421348,0.13107165504121754,False
near,10,core,outer,16,38.0,29.0,9.0,0.7631578947368421,0.06896755958184694,0.0005072923272035901,False
near,11,core,outer,20,59.0,40.0,19.0,0.6779661016949152,0.060831535455634245,0.08468450071472333,False
near,12,core,outer,20,42.0,29.0,13.0,0.6904761904761905,0.07133402662018651,0.07217441193344809,False
near,13,core,outer,18,28.0,25.0,3.0,0.8928571428571429,0.05845122059892652,0.13020654044750435,False
near,14,core,outer,16,24.0,19.0,5.0,0.7916666666666666,0.08289816934939807,0.029016064257028074,False
near,15,core,outer,21,61.0,49.0,12.0,0.8032786885245902,0.050897202262446,0.04062808611495161,False
near,16,core,outer,21,45.0,41.0,4.0,0.9111111111111111,0.04242317352081883,0.14846050870147254,False
near,17,core,outer,14,29.0,20.0,9.0,0.6896551724137931,0.08590911709007583,0.0729954299958454,False
near,18,core,outer,15,32.0,31.0,1.0,0.96875,0.030757843257858637,0.20609939759036144,False
near,19,core,outer,23,67.0,42.0,25.0,0.6268656716417911,0.059085708219535946,0.13578493076784748,False
near,20,core,outer,15,47.0,39.0,8.0,0.8297872340425532,0.05481892441184465,0.06713663163291461,False
near,21,core,outer,6,10.0,10.0,0.0,1.0,0.0,0.23734939759036144,False
near,22,core,outer,9,14.0,14.0,0.0,1.0,0.0,0.23734939759036144,False
near,23,core,outer,18,43.0,32.0,11.0,0.7441860465116279,0.06653783233847355,0.01846455589801066,False
outer,all,core,near,212,332.0,107.0,225.0,0.32228915662650603,0.025649329833860163,0.0,True
outer,0,core,near,2,4.0,1.0,3.0,0.25,0.21650635094610965,0.07228915662650603,False
outer,1,core,near,9,13.0,5.0,8.0,0.38461538461538464,0.1349320029703122,0.0623262279888786,False
outer,2,core,near,10,14.0,9.0,5.0,0.6428571428571429,0.12806020814297073,0.32056798623063687,False
outer,3,core,near,3,4.0,2.0,2.0,0.5,0.25,0.17771084337349397,False
outer,4,core,near,6,7.0,0.0,7.0,0.0,0.0,0.32228915662650603,False
outer,5,core,near,13,24.0,5.0,19.0,0.20833333333333334,0.08289816934939807,0.11395582329317269,False
outer,6,core,near,7,8.0,5.0,3.0,0.625,0.1711632992203644,0.30271084337349397,False
outer,7,core,near,11,28.0,1.0,27.0,0.03571428571428571,0.03507073235935591,0.28657487091222034,False
outer,8,core,near,8,13.0,4.0,9.0,0.3076923076923077,0.1280077375904375,0.014596848934198325,False
outer,9,core,near,15,29.0,11.0,18.0,0.3793103448275862,0.0901022421425571,0.05702118820108015,False
outer,10,core,near,16,27.0,12.0,15.0,0.4444444444444444,0.09562921842487448,0.12215528781793838,False
outer,11,core,near,9,11.0,6.0,5.0,0.5454545454545454,0.150131422517231,0.22316538882803938,False
outer,12,core,near,8,13.0,6.0,7.0,0.46153846153846156,0.13826415911891032,0.13924930491195553,False
outer,13,core,near,14,24.0,4.0,20.0,0.16666666666666666,0.07607257743127308,0.15562248995983938,False
outer,14,core,near,11,16.0,3.0,13.0,0.1875,0.09757809372497497,0.13478915662650603,False
outer,15,core,near,10,14.0,3.0,11.0,0.21428571428571427,0.10966421051124835,0.10800344234079176,False
outer,16,core,near,8,16.0,7.0,9.0,0.4375,0.12401959270615269,0.11521084337349397,False
outer,17,core,near,14,17.0,1.0,16.0,0.058823529411764705,0.057067205890901876,0.2634656272147413,False
outer,18,core,near,14,23.0,7.0,16.0,0.30434782608695654,0.09594387554215139,0.017941330539549494,False
outer,19,core,near,3,4.0,3.0,1.0,0.75,0.21650635094610965,0.42771084337349397,False
outer,20,core,near,3,3.0,0.0,3.0,0.0,0.0,0.32228915662650603,False
outer,21,core,near,7,8.0,3.0,5.0,0.375,0.1711632992203644,0.052710843373493965,False
outer,22,core,near,7,8.0,6.0,2.0,0.75,0.15309310892394862,0.42771084337349397,False
outer,23,core,near,4,4.0,3.0,1.0,0.75,0.21650635094610965,0.42771084337349397,False
