mmsi,cohort_dominant3,dominant_region,core_share,near_share,outer_share,mean_active_hours,night_share,morning_share,afternoon_share,presence_freq,recent7_freq,source_group,active_days,present_days
000002986,near,near,0.3055555555555556,0.3611111111111111,0.3333333333333333,3.6,0.05555555555555555,0.5,0.4444444444444444,0.6111111111111112,0.7142857142857143,"('e_globe_daily', 'f_globe_dynamic')",10,11
000003017,core,core,0.6009852216748769,0.3103448275862069,0.08866995073891626,12.6875,0.3448275862068966,0.3793103448275862,0.27586206896551724,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",16,18
000003019,core,core,0.6356589147286822,0.3062015503875969,0.05813953488372093,14.333333333333334,0.38372093023255816,0.3333333333333333,0.28294573643410853,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",18,18
000003022,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.05555555555555555,0.0,"('e_globe_daily',)",0,1
000003027,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.3888888888888889,0.42857142857142855,"('e_globe_daily', 'f_globe_dynamic')",0,7
000003030,outer,outer,0.0,0.0,1.0,2.3333333333333335,0.0,0.42857142857142855,0.5714285714285714,1.0,1.0,"('e_globe_daily', 'f_globe_dynamic')",12,18
000003077,core,core,0.6147859922178989,0.31906614785992216,0.06614785992217899,14.277777777777779,0.3852140077821012,0.33073929961089493,0.2840466926070039,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",18,18
000003080,core,core,0.5666666666666667,0.28888888888888886,0.14444444444444443,15.0,0.37037037037037035,0.362962962962963,0.26666666666666666,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",18,18
000003082,outer,outer,0.06666666666666667,0.13333333333333333,0.8,2.5,0.06666666666666667,0.6,0.3333333333333333,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",6,18
000003084,outer,outer,0.3333333333333333,0.16666666666666666,0.5,6.0,0.3333333333333333,0.0,0.6666666666666666,0.7222222222222222,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",1,13
000003091,core,core,0.48951048951048953,0.3006993006993007,0.2097902097902098,13.0,0.3706293706293706,0.36363636363636365,0.26573426573426573,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",11,18
000003133,near,near,0.0,0.8,0.2,1.0,0.4,0.2,0.4,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",5,18
000003135,near,near,0.25,0.375,0.375,8.0,0.25,0.125,0.625,1.0,1.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",1,18
000003136,outer,none,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.2777777777777778,0.7142857142857143,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",0,5
000003138,near,near,0.25,0.5,0.25,2.6666666666666665,0.875,0.125,0.0,0.3888888888888889,0.7142857142857143,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",3,7
000003139,near,near,0.16666666666666666,0.43333333333333335,0.4,3.75,0.5,0.2,0.3,0.6666666666666666,0.7142857142857143,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",8,12
000003149,outer,outer,0.0,0.4,0.6,1.25,0.6,0.2,0.2,0.2222222222222222,0.5714285714285714,"('e_globe_daily', 'f_globe_dynamic')",4,4
000003151,near,near,0.3,0.5,0.2,5.0,0.2,0.6,0.2,0.1111111111111111,0.0,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",2,2
000003252,outer,outer,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.05555555555555555,0.0,"('e_globe_daily', 'f_globe_dynamic')",1,1
000003517,outer,outer,0.125,0.25,0.625,2.6666666666666665,0.625,0.25,0.125,0.16666666666666666,0.42857142857142855,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",3,3
000003574,near,near,0.1111111111111111,0.6666666666666666,0.2222222222222222,3.0,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.7777777777777778,0.7142857142857143,"('china_coastal', 'e_globe_daily', 'f_globe_dynamic')",3,14
