evaluation_id,evaluation_type,predictor_method,rounding_method,task_key,n_scored_rows,actual_total,predicted_total,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,zero_true_rate,zero_prediction_rate
fold_01,rolling_7d,pair_hour_hier_tau_cv,independent,near->outer,168,59.0,0.0,121.14200208402245,145.0,0.8630952380952381,0.35119047619047616,-0.35119047619047616,0.7916666666666666,1.0
fold_01,rolling_7d,pair_hour_hier_tau_cv,independent,outer->core,168,33.0,0.0,44.55398378490884,51.0,0.30357142857142855,0.19642857142857142,-0.19642857142857142,0.8571428571428571,1.0
fold_01,rolling_7d,pair_hour_hier_tau_cv,independent,outer->near,168,65.0,21.0,88.89230683802583,106.0,0.6309523809523809,0.42857142857142855,-0.2619047619047619,0.7261904761904762,0.875
fold_01,rolling_7d,pair_hour_hier_tau_cv,paired,core->near,168,187.0,210.0,338.7214337490842,335.0,1.994047619047619,1.1011904761904763,0.13690476190476192,0.5238095238095238,0.0
fold_01,rolling_7d,pair_hour_hier_tau_cv,paired,core->outer,168,35.0,14.0,44.4326427751101,45.0,0.26785714285714285,0.20833333333333334,-0.125,0.8452380952380952,0.9166666666666666
fold_01,rolling_7d,pair_hour_hier_tau_cv,paired,near->core,168,180.0,196.0,281.95846990140626,310.0,1.8452380952380953,1.0357142857142858,0.09523809523809523,0.4583333333333333,0.0
fold_01,rolling_7d,pair_hour_hier_tau_cv,paired,near->outer,168,59.0,42.0,117.94885536163913,149.0,0.8869047619047619,0.44642857142857145,-0.10119047619047619,0.7916666666666666,0.75
fold_01,rolling_7d,pair_hour_hier_tau_cv,paired,outer->core,168,33.0,7.0,45.062048269404876,56.0,0.3333333333333333,0.2261904761904762,-0.15476190476190477,0.8571428571428571,0.9583333333333334
fold_01,rolling_7d,pair_hour_hier_tau_cv,paired,outer->near,168,65.0,84.0,86.78467335378012,117.0,0.6964285714285714,0.5416666666666666,0.1130952380952381,0.7261904761904762,0.5
fold_01,rolling_7d,pair_hour_hier_tau_scale_cv,independent,core->near,168,187.0,168.0,371.7542669719628,401.0,2.386904761904762,1.1607142857142858,-0.1130952380952381,0.5238095238095238,0.0
fold_01,rolling_7d,pair_hour_hier_tau_scale_cv,independent,core->outer,168,35.0,0.0,47.327209013151005,57.0,0.3392857142857143,0.20833333333333334,-0.20833333333333334,0.8452380952380952,1.0
fold_01,rolling_7d,pair_hour_hier_tau_scale_cv,independent,near->core,168,180.0,168.0,286.90566017140065,294.0,1.75,0.9880952380952381,-0.07142857142857142,0.4583333333333333,0.0
fold_01,rolling_7d,pair_hour_hier_tau_scale_cv,independent,near->outer,168,59.0,7.0,121.09160759548595,140.0,0.8333333333333334,0.35714285714285715,-0.30952380952380953,0.7916666666666666,0.9583333333333334
fold_01,rolling_7d,pair_hour_hier_tau_scale_cv,independent,outer->core,168,33.0,0.0,44.48503072118835,51.0,0.30357142857142855,0.19642857142857142,-0.19642857142857142,0.8571428571428571,1.0
fold_01,rolling_7d,pair_hour_hier_tau_scale_cv,independent,outer->near,168,65.0,35.0,89.03567833076448,104.0,0.6190476190476191,0.44047619047619047,-0.17857142857142858,0.7261904761904762,0.7916666666666666
fold_01,rolling_7d,pair_hour_hier_tau_scale_cv,paired,core->near,168,187.0,168.0,379.84236169362543,401.0,2.386904761904762,1.1607142857142858,-0.1130952380952381,0.5238095238095238,0.0
fold_01,rolling_7d,pair_hour_hier_tau_scale_cv,paired,core->outer,168,35.0,7.0,46.904443717347846,50.0,0.2976190476190476,0.21428571428571427,-0.16666666666666666,0.8452380952380952,0.9583333333333334
fold_01,rolling_7d,pair_hour_hier_tau_scale_cv,paired,near->core,168,180.0,168.0,293.4522189455771,294.0,1.75,0.9880952380952381,-0.07142857142857142,0.4583333333333333,0.0
fold_01,rolling_7d,pair_hour_hier_tau_scale_cv,paired,near->outer,168,59.0,7.0,121.15033605793613,140.0,0.8333333333333334,0.35714285714285715,-0.30952380952380953,0.7916666666666666,0.9583333333333334
fold_01,rolling_7d,pair_hour_hier_tau_scale_cv,paired,outer->core,168,33.0,0.0,45.29376162496156,51.0,0.30357142857142855,0.19642857142857142,-0.19642857142857142,0.8571428571428571,1.0
fold_01,rolling_7d,pair_hour_hier_tau_scale_cv,paired,outer->near,168,65.0,49.0,88.70871007433715,108.0,0.6428571428571429,0.4642857142857143,-0.09523809523809523,0.7261904761904762,0.7083333333333334
fold_01,rolling_7d,pair_hour_circular_cv,independent,core->near,168,187.0,168.0,345.36958333333337,375.0,2.232142857142857,1.0892857142857142,-0.1130952380952381,0.5238095238095238,0.125
fold_01,rolling_7d,pair_hour_circular_cv,independent,core->outer,168,35.0,14.0,42.916296296296295,45.0,0.26785714285714285,0.20833333333333334,-0.125,0.8452380952380952,0.9166666666666666
fold_01,rolling_7d,pair_hour_circular_cv,independent,near->core,168,180.0,182.0,279.2489351851852,308.0,1.8333333333333333,1.0,0.011904761904761904,0.4583333333333333,0.041666666666666664
fold_01,rolling_7d,pair_hour_circular_cv,independent,near->outer,168,59.0,28.0,114.42587962962965,125.0,0.7440476190476191,0.39880952380952384,-0.18452380952380953,0.7916666666666666,0.8333333333333334
fold_01,rolling_7d,pair_hour_circular_cv,independent,outer->core,168,33.0,0.0,43.81754629629629,51.0,0.30357142857142855,0.19642857142857142,-0.19642857142857142,0.8571428571428571,1.0
fold_01,rolling_7d,pair_hour_circular_cv,independent,outer->near,168,65.0,70.0,87.0675,103.0,0.6130952380952381,0.49404761904761907,0.02976190476190476,0.7261904761904762,0.5833333333333334
