evaluation_id,evaluation_type,predictor_method,rounding_method,n_prediction_rows,n_scored_rows,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,actual_total_scored,predicted_total_scored,constraint_adjustment_count,max_constraint_adjustment,core_to_near_sse,core_to_outer_sse,near_to_core_sse,near_to_outer_sse,outer_to_core_sse,outer_to_near_sse
fold_02,rolling_7d,present_shrunk20_direction_scale_cv,paired,1008,1008,926.6736544671041,1019.0,1.0109126984126984,0.5763888888888888,-0.07043650793650794,561.0,490.0,0,0.0,377.0,45.0,302.0,131.0,58.0,106.0
fold_02,rolling_7d,present_shrunk20_scale_cv,independent,1008,1008,904.0356962065995,1005.0,0.9970238095238095,0.5466269841269841,-0.1259920634920635,561.0,434.0,0,0.0,386.0,45.0,304.0,130.0,50.0,90.0
fold_02,rolling_7d,present_shrunk20_scale_cv,paired,1008,1008,942.0942031827512,999.0,0.9910714285714286,0.5307539682539683,-0.20932539682539683,561.0,350.0,0,0.0,392.0,53.0,293.0,111.0,50.0,100.0
fold_03,rolling_7d,pair_hour_circular_cv,independent,1008,1008,850.0387037993572,914.0,0.9067460317460317,0.5436507936507936,-0.05952380952380952,536.0,476.0,0,0.0,355.0,39.0,259.0,115.0,49.0,97.0
fold_03,rolling_7d,pair_hour_circular_cv,paired,1008,1008,850.0387037993572,958.0,0.9503968253968254,0.6031746031746031,0.037698412698412696,536.0,574.0,0,0.0,360.0,47.0,263.0,140.0,49.0,99.0
fold_03,rolling_7d,pair_hour_circular_scale_cv,independent,1008,1008,917.636974911857,1007.0,0.9990079365079365,0.5466269841269841,-0.19146825396825398,536.0,343.0,0,0.0,402.0,45.0,272.0,138.0,49.0,101.0
fold_03,rolling_7d,pair_hour_circular_scale_cv,paired,1008,1008,940.6937760886078,1010.0,1.001984126984127,0.5515873015873016,-0.17063492063492064,536.0,364.0,0,0.0,402.0,45.0,272.0,138.0,49.0,104.0
fold_03,rolling_7d,pair_hour_direction_scale_cv,independent,1008,1008,877.3732521118854,941.0,0.933531746031746,0.5089285714285714,-0.1498015873015873,536.0,385.0,0,0.0,383.0,39.0,252.0,127.0,49.0,91.0
fold_03,rolling_7d,pair_hour_direction_scale_cv,paired,1008,1008,871.117636461616,954.0,0.9464285714285714,0.5396825396825397,-0.10119047619047619,536.0,434.0,0,0.0,386.0,42.0,252.0,128.0,50.0,96.0
fold_03,rolling_7d,pair_hour_fixed085,independent,1008,1008,855.2762207300275,931.0,0.9236111111111112,0.4990079365079365,-0.1636904761904762,536.0,371.0,0,0.0,366.0,39.0,266.0,130.0,49.0,81.0
