evaluation_id,evaluation_type,method,task_key,n_scored_rows,actual_total,predicted_total,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded
fold_06,rolling_7d,hybrid_confirmed_core_near,near->core,168,179.0,189.0,236.0,1.4047619047619047,0.9166666666666666,0.05952380952380952
fold_06,rolling_7d,hybrid_confirmed_core_near,near->outer,168,59.0,28.0,95.0,0.5654761904761905,0.35119047619047616,-0.18452380952380953
fold_06,rolling_7d,hybrid_confirmed_core_near,outer->near,168,65.0,49.0,116.0,0.6904761904761905,0.4523809523809524,-0.09523809523809523
fold_06,rolling_7d,hybrid_confirmed_core_near,core->outer,168,35.0,7.0,46.0,0.27380952380952384,0.21428571428571427,-0.16666666666666666
fold_06,rolling_7d,hybrid_confirmed_core_near,outer->core,168,33.0,0.0,51.0,0.30357142857142855,0.19642857142857142,-0.19642857142857142
fold_07,rolling_7d,baseline_confirmed_structure,core->near,168,189.0,175.0,308.0,1.8333333333333333,1.0595238095238095,-0.08333333333333333
fold_07,rolling_7d,baseline_confirmed_structure,near->core,168,187.0,168.0,253.0,1.505952380952381,0.9107142857142857,-0.1130952380952381
fold_07,rolling_7d,baseline_confirmed_structure,near->outer,168,51.0,35.0,88.0,0.5238095238095238,0.35714285714285715,-0.09523809523809523
fold_07,rolling_7d,baseline_confirmed_structure,outer->near,168,60.0,42.0,106.0,0.6309523809523809,0.40476190476190477,-0.10714285714285714
fold_07,rolling_7d,baseline_confirmed_structure,core->outer,168,39.0,7.0,54.0,0.32142857142857145,0.23809523809523808,-0.19047619047619047
fold_07,rolling_7d,baseline_confirmed_structure,outer->core,168,34.0,0.0,48.0,0.2857142857142857,0.20238095238095238,-0.20238095238095238
fold_07,rolling_7d,hybrid_confirmed_core_near,core->near,168,189.0,175.0,288.0,1.7142857142857142,1.0238095238095237,-0.08333333333333333
fold_07,rolling_7d,hybrid_confirmed_core_near,near->core,168,187.0,182.0,241.0,1.4345238095238095,0.8869047619047619,-0.02976190476190476
fold_07,rolling_7d,hybrid_confirmed_core_near,near->outer,168,51.0,35.0,88.0,0.5238095238095238,0.35714285714285715,-0.09523809523809523
fold_07,rolling_7d,hybrid_confirmed_core_near,outer->near,168,60.0,42.0,106.0,0.6309523809523809,0.40476190476190477,-0.10714285714285714
fold_07,rolling_7d,hybrid_confirmed_core_near,core->outer,168,39.0,7.0,54.0,0.32142857142857145,0.23809523809523808,-0.19047619047619047
fold_07,rolling_7d,hybrid_confirmed_core_near,outer->core,168,34.0,0.0,48.0,0.2857142857142857,0.20238095238095238,-0.20238095238095238
fold_08,rolling_7d,baseline_confirmed_structure,core->near,167,185.0,181.0,304.0,1.8203592814371257,1.0419161676646707,-0.023952095808383235
fold_08,rolling_7d,baseline_confirmed_structure,near->core,167,187.0,167.0,300.0,1.7964071856287425,0.9101796407185628,-0.11976047904191617
fold_08,rolling_7d,baseline_confirmed_structure,near->outer,167,53.0,28.0,79.0,0.47305389221556887,0.3413173652694611,-0.1497005988023952
fold_08,rolling_7d,baseline_confirmed_structure,outer->near,167,60.0,49.0,97.0,0.5808383233532934,0.40119760479041916,-0.0658682634730539
fold_08,rolling_7d,baseline_confirmed_structure,core->outer,167,39.0,7.0,54.0,0.32335329341317365,0.23952095808383234,-0.19161676646706588
fold_08,rolling_7d,baseline_confirmed_structure,outer->core,167,34.0,0.0,46.0,0.2754491017964072,0.20359281437125748,-0.20359281437125748
fold_08,rolling_7d,hybrid_confirmed_core_near,core->near,167,185.0,167.0,306.0,1.8323353293413174,1.0059880239520957,-0.10778443113772455
fold_08,rolling_7d,hybrid_confirmed_core_near,near->core,167,187.0,188.0,303.0,1.81437125748503,0.9401197604790419,0.005988023952095809
fold_08,rolling_7d,hybrid_confirmed_core_near,near->outer,167,53.0,28.0,79.0,0.47305389221556887,0.3413173652694611,-0.1497005988023952
fold_08,rolling_7d,hybrid_confirmed_core_near,outer->near,167,60.0,49.0,97.0,0.5808383233532934,0.40119760479041916,-0.0658682634730539
fold_08,rolling_7d,hybrid_confirmed_core_near,core->outer,167,39.0,7.0,54.0,0.32335329341317365,0.23952095808383234,-0.19161676646706588
fold_08,rolling_7d,hybrid_confirmed_core_near,outer->core,167,34.0,0.0,46.0,0.2754491017964072,0.20359281437125748,-0.20359281437125748
final_analog,final_analog,baseline_confirmed_structure,core->near,143,153.0,161.0,238.0,1.6643356643356644,0.9790209790209791,0.055944055944055944
final_analog,final_analog,baseline_confirmed_structure,near->core,143,156.0,149.0,259.0,1.8111888111888113,0.9020979020979021,-0.04895104895104895
final_analog,final_analog,baseline_confirmed_structure,near->outer,143,44.0,30.0,68.0,0.4755244755244755,0.34965034965034963,-0.0979020979020979
final_analog,final_analog,baseline_confirmed_structure,outer->near,143,51.0,42.0,91.0,0.6363636363636364,0.42657342657342656,-0.06293706293706294
final_analog,final_analog,baseline_confirmed_structure,core->outer,143,35.0,6.0,49.0,0.34265734265734266,0.24475524475524477,-0.20279720279720279
final_analog,final_analog,baseline_confirmed_structure,outer->core,143,29.0,0.0,37.0,0.25874125874125875,0.20279720279720279,-0.20279720279720279
final_analog,final_analog,hybrid_confirmed_core_near,core->near,143,153.0,143.0,246.0,1.7202797202797202,0.965034965034965,-0.06993006993006994
final_analog,final_analog,hybrid_confirmed_core_near,near->core,143,156.0,167.0,247.0,1.7272727272727273,0.916083916083916,0.07692307692307693
final_analog,final_analog,hybrid_confirmed_core_near,near->outer,143,44.0,30.0,68.0,0.4755244755244755,0.34965034965034963,-0.0979020979020979
final_analog,final_analog,hybrid_confirmed_core_near,outer->near,143,51.0,42.0,91.0,0.6363636363636364,0.42657342657342656,-0.06293706293706294
final_analog,final_analog,hybrid_confirmed_core_near,core->outer,143,35.0,6.0,49.0,0.34265734265734266,0.24475524475524477,-0.20279720279720279
final_analog,final_analog,hybrid_confirmed_core_near,outer->core,143,29.0,0.0,37.0,0.25874125874125875,0.20279720279720279,-0.20279720279720279
