date,hour,hour_of_day,dayofweek,day_type,audit_quality_regime,period,pair,y_ab,y_ba,X,r,F,T_daily,p
2018-01-05,2018-01-05 18:00:00,18,4,weekday,normal,pre_outage,core_near,4,3,7,0.5714285714285714,1,52,0.1346153846153846
2018-01-05,2018-01-05 19:00:00,19,4,weekday,normal,pre_outage,core_near,0,3,3,0.0,-3,52,0.057692307692307696
2018-01-05,2018-01-05 20:00:00,20,4,weekday,normal,pre_outage,core_near,0,0,0,,0,52,0.0
2018-01-05,2018-01-05 21:00:00,21,4,weekday,normal,pre_outage,core_near,0,0,0,,0,52,0.0
2018-01-05,2018-01-05 22:00:00,22,4,weekday,normal,pre_outage,core_near,0,1,1,0.0,-1,52,0.019230769230769232
2018-01-05,2018-01-05 23:00:00,23,4,weekday,normal,pre_outage,core_near,0,0,0,,0,52,0.0
2018-01-06,2018-01-06 00:00:00,0,5,weekend,normal,pre_outage,core_near,0,0,0,,0,31,0.0
2018-01-06,2018-01-06 01:00:00,1,5,weekend,normal,pre_outage,core_near,0,0,0,,0,31,0.0
2018-01-06,2018-01-06 02:00:00,2,5,weekend,normal,pre_outage,core_near,1,0,1,1.0,1,31,0.03225806451612903
2018-01-06,2018-01-06 03:00:00,3,5,weekend,normal,pre_outage,core_near,0,1,1,0.0,-1,31,0.03225806451612903
2018-01-06,2018-01-06 04:00:00,4,5,weekend,normal,pre_outage,core_near,0,0,0,,0,31,0.0
2018-01-06,2018-01-06 05:00:00,5,5,weekend,normal,pre_outage,core_near,0,0,0,,0,31,0.0
2018-01-06,2018-01-06 06:00:00,6,5,weekend,normal,pre_outage,core_near,4,0,4,1.0,4,31,0.12903225806451613
2018-01-06,2018-01-06 07:00:00,7,5,weekend,normal,pre_outage,core_near,1,4,5,0.2,-3,31,0.16129032258064516
2018-01-06,2018-01-06 08:00:00,8,5,weekend,normal,pre_outage,core_near,2,0,2,1.0,2,31,0.06451612903225806
2018-01-06,2018-01-06 09:00:00,9,5,weekend,normal,pre_outage,core_near,2,2,4,0.5,0,31,0.12903225806451613
2018-01-06,2018-01-06 10:00:00,10,5,weekend,normal,pre_outage,core_near,2,0,2,1.0,2,31,0.06451612903225806
2018-01-06,2018-01-06 11:00:00,11,5,weekend,normal,pre_outage,core_near,0,0,0,,0,31,0.0
2018-01-06,2018-01-06 12:00:00,12,5,weekend,normal,pre_outage,core_near,0,2,2,0.0,-2,31,0.06451612903225806
2018-01-06,2018-01-06 13:00:00,13,5,weekend,normal,pre_outage,core_near,0,0,0,,0,31,0.0
2018-01-06,2018-01-06 14:00:00,14,5,weekend,normal,pre_outage,core_near,1,0,1,1.0,1,31,0.03225806451612903
2018-01-06,2018-01-06 15:00:00,15,5,weekend,normal,pre_outage,core_near,0,2,2,0.0,-2,31,0.06451612903225806
2018-01-06,2018-01-06 16:00:00,16,5,weekend,normal,pre_outage,core_near,0,1,1,0.0,-1,31,0.03225806451612903
2018-01-06,2018-01-06 17:00:00,17,5,weekend,normal,pre_outage,core_near,1,0,1,1.0,1,31,0.03225806451612903
2018-01-06,2018-01-06 18:00:00,18,5,weekend,normal,pre_outage,core_near,0,0,0,,0,31,0.0
2018-01-06,2018-01-06 19:00:00,19,5,weekend,normal,pre_outage,core_near,0,1,1,0.0,-1,31,0.03225806451612903
