date,hour,region,quality,N_ge1,N_ge2,N_ge3,N_ge4,N_ge5,N_ge6,N_eq1,N_eq2,N_eq3,N_eq4,active_rows,active_mmsi
2018-01-03,2,near,normal,2,2,2,2,2,2,0,0,0,0,118,2
2018-01-03,2,outer,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-03,3,core,normal,11,11,11,11,11,11,0,0,0,0,1007,11
2018-01-03,3,near,normal,3,3,3,3,3,3,0,0,0,0,450,3
2018-01-03,3,outer,normal,2,2,2,2,2,2,0,0,0,0,69,2
2018-01-03,4,core,normal,5,5,5,5,5,5,0,0,0,0,215,5
2018-01-03,4,near,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-03,4,outer,normal,3,3,3,3,3,3,0,0,0,0,622,3
2018-01-03,5,core,normal,5,5,5,5,5,5,0,0,0,0,488,5
2018-01-03,5,near,normal,1,1,1,1,1,1,0,0,0,0,150,1
2018-01-03,5,outer,normal,3,2,2,2,2,2,1,0,0,0,245,3
2018-01-03,6,core,normal,15,15,15,15,15,15,0,0,0,0,1117,15
2018-01-03,6,near,normal,3,3,3,3,3,3,0,0,0,0,299,3
2018-01-03,6,outer,normal,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-03,7,core,normal,12,12,12,12,12,12,0,0,0,0,1068,12
2018-01-03,7,near,normal,6,6,6,6,6,6,0,0,0,0,280,6
2018-01-03,7,outer,normal,2,1,1,1,1,1,1,0,0,0,40,2
2018-01-03,8,core,normal,6,6,6,5,5,5,0,0,1,0,412,6
2018-01-03,8,near,normal,7,7,7,7,7,7,0,0,0,0,284,7
2018-01-03,8,outer,normal,2,2,2,2,2,2,0,0,0,0,373,2
2018-01-03,9,core,normal,5,5,5,5,5,5,0,0,0,0,630,5
2018-01-03,9,near,normal,5,5,5,5,5,5,0,0,0,0,421,5
2018-01-03,9,outer,normal,3,1,1,1,1,1,2,0,0,0,107,3
2018-01-03,10,core,normal,12,12,12,12,12,12,0,0,0,0,926,12
2018-01-03,10,near,normal,8,8,7,7,7,7,0,1,0,0,612,8
2018-01-03,10,outer,normal,3,2,2,2,1,1,1,0,0,1,39,3
2018-01-03,11,core,normal,11,11,9,9,9,8,0,2,0,0,813,11
2018-01-03,11,near,normal,9,9,9,9,8,8,0,0,0,1,283,9
2018-01-03,11,outer,normal,4,3,3,3,3,3,1,0,0,0,314,4
2018-01-03,12,core,normal,6,5,5,5,5,5,1,0,0,0,372,6
2018-01-03,12,near,normal,5,3,3,3,3,3,2,0,0,0,270,5
2018-01-03,12,outer,normal,5,5,5,4,4,4,0,0,1,0,569,5
2018-01-03,13,core,normal,5,5,4,4,4,4,0,1,0,0,251,5
