date,hour,region,raw_region_vessel_count,active_region_vessel_count,active_vessels_ge2,active_vessels_ge3,active_vessels_ge4,a_label,active_ais_record_count,median_active_records_per_vessel,china_coastal_active_record_count,e_globe_daily_active_record_count,f_globe_dynamic_active_record_count,active_source_count,ge3_rate_among_active
2018-01-02,6,outer,5,2,2,2,2,2,121,60.5,113,8,0,2,1.0
2018-01-02,7,core,15,12,12,12,12,12,801,70.0,761,40,0,2,1.0
2018-01-02,7,near,34,12,12,12,12,12,1073,74.5,1013,60,0,2,1.0
2018-01-02,7,outer,7,4,4,4,4,4,618,154.0,593,25,0,2,1.0
2018-01-02,8,core,11,6,6,5,5,5,274,41.5,259,15,0,2,0.8333333333333334
2018-01-02,8,near,28,6,6,6,5,6,371,32.0,349,22,0,2,1.0
2018-01-02,8,outer,10,6,5,5,5,5,555,97.5,536,19,0,2,0.8333333333333334
2018-01-02,9,core,10,4,4,4,4,4,332,62.0,320,12,0,2,1.0
2018-01-02,9,near,28,3,2,1,1,1,10,2.0,1,9,0,2,0.3333333333333333
2018-01-02,9,outer,11,8,8,8,8,8,1601,192.0,1532,69,0,2,1.0
2018-01-02,10,core,12,6,6,6,6,6,987,163.0,949,38,0,2,1.0
2018-01-02,10,near,31,8,8,8,8,8,488,56.0,462,26,0,2,1.0
2018-01-02,10,outer,10,7,7,7,7,7,1023,133.0,967,56,0,2,1.0
2018-01-02,11,core,12,9,9,9,9,9,689,52.0,660,29,0,2,1.0
2018-01-02,11,near,31,8,8,8,7,8,662,85.5,625,37,0,2,1.0
2018-01-02,11,outer,7,2,2,2,2,2,130,65.0,110,20,0,2,1.0
2018-01-02,12,core,9,6,6,6,6,6,275,47.5,261,14,0,2,1.0
2018-01-02,12,near,30,4,4,4,4,4,176,44.5,168,8,0,2,1.0
2018-01-02,12,outer,9,6,6,6,6,6,316,51.0,291,25,0,2,1.0
2018-01-02,13,core,14,8,8,8,8,8,221,30.0,211,10,0,2,1.0
2018-01-02,13,near,31,7,7,7,7,7,779,126.0,746,33,0,2,1.0
2018-01-02,13,outer,8,5,5,5,5,5,725,138.0,677,48,0,2,1.0
2018-01-02,14,core,15,11,10,10,10,10,1378,77.0,1312,66,0,2,0.9090909090909091
2018-01-02,14,near,31,10,9,9,8,9,607,53.0,566,41,0,2,0.9
2018-01-02,14,outer,5,2,2,2,2,2,76,38.0,65,11,0,2,1.0
2018-01-02,15,core,16,13,13,13,12,13,1297,40.0,1246,51,0,2,1.0
2018-01-02,15,near,35,9,8,8,8,8,573,31.0,551,22,0,2,0.8888888888888888
2018-01-02,15,outer,9,2,2,2,2,2,199,99.5,191,8,0,2,1.0
2018-01-02,16,core,15,12,12,12,12,12,660,42.5,618,42,0,2,1.0
2018-01-02,16,near,32,7,6,6,6,6,775,111.0,742,33,0,2,0.8571428571428571
2018-01-02,16,outer,8,5,5,5,5,5,679,149.0,642,37,0,2,1.0
2018-01-02,17,core,15,5,5,5,5,5,476,81.0,454,22,0,2,1.0
2018-01-02,17,near,29,3,3,3,3,3,350,67.0,334,16,0,2,1.0
2018-01-02,17,outer,7,5,5,4,4,4,638,100.0,610,28,0,2,0.8
