block,date,hour,region,residual,stock_dev,a_true,bl_pred,stock_true,stock_mean
block_target_like,2018-01-09,8,near,-1.0,3.25,5.0,6.0,31.0,27.75
block_target_like,2018-01-09,8,outer,1.0,-0.875,3.0,2.0,5.0,5.875
block_target_like,2018-01-09,9,core,3.0,-0.5,7.0,4.0,12.0,12.5
block_target_like,2018-01-09,9,near,1.0,-4.125,5.0,4.0,23.0,27.125
block_target_like,2018-01-09,9,outer,2.0,3.0,5.0,3.0,10.0,7.0
block_target_like,2018-01-09,10,core,1.0,-0.125,10.0,9.0,12.0,12.125
block_target_like,2018-01-09,10,near,-1.0,-2.25,6.0,7.0,25.0,27.25
block_target_like,2018-01-09,10,outer,0.0,0.25,3.0,3.0,7.0,6.75
block_target_like,2018-01-09,11,core,0.0,-0.375,11.0,11.0,11.0,11.375
block_target_like,2018-01-09,11,near,-2.0,-2.375,7.0,9.0,27.0,29.375
block_target_like,2018-01-09,11,outer,-1.0,0.25,1.0,2.0,6.0,5.75
block_target_like,2018-01-09,12,core,5.0,0.0,12.0,7.0,12.0,12.0
block_target_like,2018-01-09,12,near,6.0,-1.75,9.0,3.0,25.0,26.75
block_target_like,2018-01-09,12,outer,-2.0,-0.375,2.0,4.0,7.0,7.375
block_target_like,2018-01-09,13,core,-1.0,-0.375,4.0,5.0,12.0,12.375
block_target_like,2018-01-09,13,near,-3.0,-1.75,2.0,5.0,25.0,26.75
block_target_like,2018-01-09,13,outer,-2.0,-1.375,2.0,4.0,6.0,7.375
block_target_like,2018-01-09,14,core,-8.0,0.0,0.0,8.0,13.0,13.0
block_target_like,2018-01-09,14,near,-7.0,-1.0,0.0,7.0,26.0,27.0
block_target_like,2018-01-09,14,outer,-2.0,-0.75,1.0,3.0,5.0,5.75
block_target_like,2018-01-09,15,core,1.0,-3.5,11.0,10.0,9.0,12.5
block_target_like,2018-01-09,15,near,-1.0,2.5,7.0,8.0,30.0,27.5
block_target_like,2018-01-09,15,outer,-1.0,-2.0,1.0,2.0,4.0,6.0
block_target_like,2018-01-09,16,core,-6.0,-4.25,3.0,9.0,8.0,12.25
block_target_like,2018-01-09,16,near,-2.0,-0.125,3.0,5.0,28.0,28.125
block_target_like,2018-01-09,16,outer,1.0,1.5,3.0,2.0,7.0,5.5
block_target_like,2018-01-09,17,core,-1.0,-2.5,3.0,4.0,11.0,13.5
block_target_like,2018-01-09,17,near,-1.0,-1.125,1.0,2.0,26.0,27.125
block_target_like,2018-01-09,17,outer,2.0,1.5,3.0,1.0,7.0,5.5
block_target_like,2018-01-09,18,core,1.0,-1.75,9.0,8.0,11.0,12.75
block_target_like,2018-01-09,18,near,2.0,-2.125,7.0,5.0,26.0,28.125
block_target_like,2018-01-09,18,outer,1.0,2.125,2.0,1.0,7.0,4.875
block_target_like,2018-01-09,19,core,-2.0,-3.125,10.0,12.0,8.0,11.125
block_target_like,2018-01-09,19,near,1.0,0.875,9.0,8.0,31.0,30.125
block_target_like,2018-01-09,19,outer,-1.0,0.75,0.0,1.0,5.0,4.25
block_target_like,2018-01-09,20,core,6.0,-2.375,12.0,6.0,11.0,13.375
block_target_like,2018-01-09,20,near,6.0,1.5,10.0,4.0,28.0,26.5
block_target_like,2018-01-09,20,outer,-1.0,-0.25,1.0,2.0,6.0,6.25
block_target_like,2018-01-09,21,core,-4.0,-2.5,0.0,4.0,12.0,14.5
block_target_like,2018-01-09,21,near,-3.0,1.125,0.0,3.0,26.0,24.875
block_target_like,2018-01-09,21,outer,0.0,0.25,2.0,2.0,6.0,5.75
block_target_like,2018-01-09,22,core,-6.0,-2.125,1.0,7.0,13.0,15.125
block_target_like,2018-01-09,22,near,-3.0,0.25,0.0,3.0,25.0,24.75
block_target_like,2018-01-09,22,outer,0.0,0.625,1.0,1.0,5.0,4.375
block_target_like,2018-01-09,23,core,-4.0,-0.125,6.0,10.0,13.0,13.125
block_target_like,2018-01-09,23,near,1.0,-1.875,6.0,5.0,25.0,26.875
block_target_like,2018-01-09,23,outer,0.0,0.125,1.0,1.0,5.0,4.875
block_target_like,2018-01-10,0,core,2.0,1.4444444444444446,7.0,5.0,15.0,13.555555555555555
block_target_like,2018-01-10,0,near,-2.0,0.22222222222222143,1.0,3.0,25.0,24.77777777777778
