date,region,quality_regime,period,day_type,dayofweek,unique_vessel_count,daily_total,mean_hourly_count,std_hourly_count,cv_hourly_count,zero_hour_count,peak_hour,peak_value,trough_hour,trough_value,normalized_profile_entropy
2018-01-07,near,normal,pre_outage,weekend,6,60,113,4.708333333333333,2.804951625819669,0.5957419382271864,0,3,10.0,1,1.0,0.9444280114343425
2018-01-07,outer,normal,pre_outage,weekend,6,60,48,2.0,1.6151457061744965,0.8075728530872482,5,0,5.0,2,0.0,0.880774965655842
2018-01-08,core,normal,pre_outage,weekday,0,56,164,6.833333333333333,4.114308718592232,0.6020939588183755,1,7,15.0,22,0.0,0.9378003217875959
2018-01-08,near,normal,pre_outage,weekday,0,56,100,4.166666666666667,2.598773400742319,0.6237056161781565,3,11,10.0,1,0.0,0.9265173249007257
2018-01-08,outer,normal,pre_outage,weekday,0,56,38,1.5833333333333333,1.4719601443879746,0.9296590385608261,6,13,5.0,2,0.0,0.8555239432499017
2018-01-09,core,normal,pre_outage,weekday,1,54,146,6.083333333333333,4.500402558483607,0.7397922013945656,4,4,13.0,2,0.0,0.89485511364144
2018-01-09,near,normal,pre_outage,weekday,1,54,105,4.375,3.1596986647738916,0.7222168376626038,3,20,10.0,14,0.0,0.9048387180400133
2018-01-09,outer,normal,pre_outage,weekday,1,54,45,1.875,1.2618998788920721,0.6730132687424385,2,9,5.0,0,0.0,0.9257045241427903
2018-01-10,core,normal,pre_outage,weekday,2,54,145,6.041666666666667,4.227026569964803,0.6996457770976225,2,19,16.0,5,0.0,0.913004204390051
2018-01-10,near,normal,pre_outage,weekday,2,54,90,3.75,2.9963746210320927,0.7990332322752247,5,19,11.0,1,0.0,0.8829553542195703
2018-01-10,outer,normal,pre_outage,weekday,2,54,28,1.1666666666666667,1.090140264874869,0.9344059413213163,7,21,4.0,0,0.0,0.8497979053117861
2018-01-11,core,normal,pre_outage,weekday,3,54,126,5.25,3.7677117954951176,0.7176593896181176,2,23,14.0,9,0.0,0.9144840561014512
2018-01-11,near,normal,pre_outage,weekday,3,54,82,3.4166666666666665,2.7173623186859888,0.7953255566885821,4,15,9.0,2,0.0,0.8894722397938546
