group,region,hour,n_days,mean_profile_share,median_profile_share,std_profile_share,q25_profile_share,q75_profile_share,mean_hourly_count,median_hourly_count
normal_pre_outage,core,10,11,0.05210830557168622,0.04878048780487805,0.018730050787920078,0.04407979407979408,0.059375,8.727272727272727,8.0
normal_pre_outage,core,11,11,0.059939092796540354,0.04950495049504951,0.015826662897608878,0.047369733233607575,0.07401685393258427,10.0,10.0
normal_pre_outage,core,12,11,0.04532975586316756,0.04878048780487805,0.022054033208618814,0.028727639616055844,0.05779285793747914,7.545454545454546,8.0
normal_pre_outage,core,13,11,0.031173724665043468,0.02702702702702703,0.018167245753450655,0.0183531746031746,0.039964147507398136,5.2727272727272725,4.0
normal_pre_outage,core,14,11,0.03874175127240336,0.04054054054054054,0.016654402170039953,0.03047648514851485,0.049987534280728,6.545454545454546,6.0
normal_pre_outage,core,15,11,0.058319255526623176,0.06206896551724138,0.01656443056982803,0.048929547525053144,0.07104037267080746,9.545454545454545,9.0
normal_pre_outage,core,16,11,0.04528838286739076,0.054878048780487805,0.018456498313603378,0.027306616961789376,0.05954470973782772,7.7272727272727275,8.0
normal_pre_outage,core,17,11,0.027949864521738622,0.02617801047120419,0.01611959055885128,0.02040910773787486,0.03363108049935429,4.636363636363637,5.0
normal_pre_outage,core,18,11,0.04769601614336856,0.05235602094240838,0.016384671995862875,0.0404916353704336,0.06172079421271356,7.909090909090909,8.0
normal_pre_outage,core,19,11,0.07446182908049771,0.07303370786516854,0.016983271176125882,0.062311665949203614,0.0809473167539267,12.272727272727273,12.0
normal_pre_outage,core,20,11,0.04627414144690674,0.036458333333333336,0.02709144201172167,0.027631900341963847,0.07146761984861227,7.363636363636363,7.0
normal_pre_outage,core,21,11,0.016603467888840664,0.01875,0.011856001051241743,0.0078125,0.02457135957498189,2.909090909090909,3.0
normal_pre_outage,core,22,11,0.03563405792112144,0.0375,0.020985873226235373,0.028758694489031567,0.04121267864723362,6.090909090909091,6.0
normal_pre_outage,core,23,11,0.06169409532985179,0.06097560975609756,0.0312283393467591,0.03625475148820197,0.08006586594343278,9.818181818181818,10.0
normal_pre_outage,near,0,11,0.025217361360121093,0.017699115044247787,0.02448109421104618,0.009829059829059829,0.03336931102716316,2.5454545454545454,2.0
normal_pre_outage,near,1,11,0.010390398253414621,0.0,0.019727868425638125,0.0,0.010522339736671703,1.0909090909090908,0.0
normal_pre_outage,near,2,11,0.020474557635310604,0.022222222222222223,0.012116869435367153,0.01691407365115615,0.027799227799227798,2.1818181818181817,2.0
normal_pre_outage,near,3,11,0.04633325485689938,0.044444444444444446,0.018503123330771996,0.032578397212543554,0.054549962806843544,4.909090909090909,4.0
