region,date_i,date_j,period_i,period_j,period_pair,day_type_i,day_type_j,same_day_type,pearson_profile,cosine_similarity,l1_distance,rmse_profile
core,2018-01-04,2018-01-19,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.2689113441160561,0.7682701124635891,0.6942307692307692,0.034710128975574066
core,2018-01-04,2018-01-20,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,0.533264655816767,0.8889777927690138,0.4000615763546798,0.022499967209247185
core,2018-01-04,2018-01-21,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,-0.12303325038417297,0.7725355091947328,0.6375598086124402,0.03149275693079061
core,2018-01-04,2018-01-22,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.10281730442262692,0.7587263843584514,0.6378623188405796,0.03397247345233666
core,2018-01-04,2018-01-23,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.1274138407120923,0.796797240715019,0.5783227848101267,0.030334499050954863
core,2018-01-04,2018-01-24,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.19564827450345754,0.8355064545987224,0.5011306532663317,0.026810838058028804
core,2018-01-05,2018-01-06,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekend,False,0.3806829800322707,0.8509430186440341,0.436545240893067,0.02614973348028779
core,2018-01-05,2018-01-07,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekend,False,0.32944864092831067,0.8834158515292163,0.40572535514421004,0.022201100070888085
core,2018-01-05,2018-01-08,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.41466475543315795,0.8626092608593671,0.4583775185577943,0.02499477149310667
core,2018-01-05,2018-01-09,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.09777803990286078,0.7467836606902434,0.6751042287075641,0.035233813812749676
core,2018-01-05,2018-01-10,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.2696404008749266,0.8036139274854206,0.6473013493253372,0.03069890377950918
core,2018-01-05,2018-01-11,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.28432276486695846,0.8026335063628572,0.55175983436853,0.03095243825488206
core,2018-01-05,2018-01-19,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.3580432415591464,0.7970571759913305,0.6073578595317726,0.032500096080926306
core,2018-01-05,2018-01-20,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,0.6241919409393191,0.912425363498434,0.3874491325765689,0.01992852183602551
core,2018-01-05,2018-01-21,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,-0.08553763651219665,0.7872525200115342,0.5914811732889536,0.030320502730130088
core,2018-01-05,2018-01-22,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.05466324295178572,0.7517302149769507,0.7065217391304348,0.03435268596247226
core,2018-01-05,2018-01-23,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.38983868088264634,0.8614873067179543,0.438084755090809,0.024958287984694003
core,2018-01-05,2018-01-24,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.030212033905958273,0.8083119401766856,0.5817675333187677,0.02880856168985431
core,2018-01-06,2018-01-07,pre_outage,pre_outage,pre_outage__pre_outage,weekend,weekend,True,0.2857021252999699,0.8503864129218265,0.4719025956649719,0.025848345778052867
core,2018-01-06,2018-01-08,pre_outage,pre_outage,pre_outage__pre_outage,weekend,weekday,False,0.49170745998450865,0.8661359967013241,0.5088991430454844,0.02512062492271952
core,2018-01-06,2018-01-09,pre_outage,pre_outage,pre_outage__pre_outage,weekend,weekday,False,-0.1703634674547976,0.6408086663621393,0.8726397630507219,0.042522141991973995
core,2018-01-06,2018-01-10,pre_outage,pre_outage,pre_outage__pre_outage,weekend,weekday,False,0.36051806895687916,0.8111413636330386,0.5693383038210624,0.030538626967950004
core,2018-01-06,2018-01-11,pre_outage,pre_outage,pre_outage__pre_outage,weekend,weekday,False,0.5802581818735878,0.8726458186756358,0.49442299442299437,0.02523460026755357
core,2018-01-06,2018-01-19,pre_outage,post_recovery,post_recovery__pre_outage,weekend,weekday,False,0.3124035417283903,0.7691153940160969,0.6465696465696467,0.034948755662413414
core,2018-01-06,2018-01-20,pre_outage,post_recovery,post_recovery__pre_outage,weekend,weekend,True,0.5672737431949478,0.8871195341308473,0.42158168020236986,0.023030287608759123
