training_policy,method,n_prediction_rows,n_unique_target_dates,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,rank_by_mse_rounded
exclude_outage_severe,decomp_ridge_calendar_daytype,1584,7,22305.0,14.081439393939394,2.710227272727273,-1.9652777777777777,26
exclude_outage_severe,decomp_ridge_calendar_mean,1584,7,22473.0,14.1875,2.7039141414141414,-1.9526515151515151,27
quality_weighted,poisson_direct_calendar,1584,7,22634.0,14.289141414141413,2.7386363636363638,-1.667929292929293,28
quality_weighted,ridge_direct_calendar,1584,7,24169.0,15.258207070707071,2.8011363636363638,-1.9766414141414141,29
exclude_outage_severe,ridge_direct_calendar,1584,7,24297.0,15.339015151515152,2.8112373737373737,-2.0410353535353534,30
quality_weighted,ridge_direct_calendar_vessel,1584,7,24701.0,15.594065656565656,2.8819444444444446,-2.259469696969697,31
exclude_outage_severe,ridge_direct_calendar_vessel,1584,7,25082.0,15.83459595959596,2.926767676767677,-2.311868686868687,32
quality_weighted,decomp_ridge_calendar_vessel_daytype,1584,7,25819.0,16.299873737373737,2.893308080808081,-2.304924242424242,33
quality_weighted,decomp_ridge_calendar_vessel_mean,1584,7,25991.0,16.408459595959595,2.889520202020202,-2.2998737373737375,34
exclude_outage_severe,decomp_ridge_calendar_vessel_daytype,1584,7,26090.0,16.470959595959595,2.912878787878788,-2.33459595959596,35
exclude_outage_severe,decomp_ridge_calendar_vessel_mean,1584,7,26206.0,16.54419191919192,2.907828282828283,-2.335858585858586,36
all,decomp_poisson_calendar_mean,1584,7,30042.0,18.96590909090909,3.117424242424242,-2.573232323232323,37
all,decomp_poisson_calendar_daytype,1584,7,30071.0,18.984217171717173,3.1218434343434343,-2.5890151515151514,38
all,poisson_direct_calendar,1584,7,31169.0,19.67739898989899,3.1609848484848486,-2.6167929292929295,39
all,decomp_poisson_calendar_vessel_mean,1584,7,31270.0,19.741161616161616,3.183080808080808,-2.707070707070707,40
all,poisson_direct_calendar_vessel,1584,7,31294.0,19.75631313131313,3.1805555555555554,-2.712121212121212,41
all,decomp_poisson_calendar_vessel_daytype,1584,7,31371.0,19.804924242424242,3.2001262626262625,-2.720328282828283,42
all,ridge_direct_calendar_vessel,1584,7,36217.0,22.86426767676768,3.489267676767677,-3.1117424242424243,43
all,ridge_direct_calendar,1584,7,38621.0,24.381944444444443,3.57260101010101,-3.1092171717171717,44
all,decomp_ridge_calendar_mean,1584,7,40264.0,25.41919191919192,3.6452020202020203,-3.2702020202020203,45
all,decomp_ridge_calendar_daytype,1584,7,40444.0,25.532828282828284,3.6452020202020203,-3.275252525252525,46
all,decomp_ridge_calendar_vessel_daytype,1584,7,40842.0,25.78409090909091,3.667929292929293,-3.332070707070707,47
all,decomp_ridge_calendar_vessel_mean,1584,7,40891.0,25.815025252525253,3.6672979797979797,-3.331439393939394,48
