evaluation_id,evaluation_type,training_policy,method,selected_alpha,train_start,train_end,valid_start,valid_end,n_valid_days,n_rows,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,actual_total,predicted_total_rounded,core_sse_rounded,near_sse_rounded,outer_sse_rounded
fold_01,rolling_7d,all,decomp_poisson_calendar_vessel_daytype,1.0,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3572.114735321031,3622.0,7.186507936507937,2.0396825396825395,1.0634920634920635,1173.0,1709.0,2284.0,1068.0,270.0
fold_01,rolling_7d,all,decomp_poisson_calendar_vessel_mean,1.0,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3559.760330619114,3627.0,7.196428571428571,2.0297619047619047,1.0773809523809523,1173.0,1716.0,2324.0,1040.0,263.0
fold_01,rolling_7d,all,decomp_ridge_calendar_daytype,0.1,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3944.6674774151775,4020.0,7.976190476190476,2.130952380952381,1.1666666666666667,1173.0,1761.0,2538.0,1205.0,277.0
fold_01,rolling_7d,all,decomp_ridge_calendar_mean,0.1,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3931.3645208333405,4032.0,8.0,2.130952380952381,1.1785714285714286,1173.0,1767.0,2551.0,1196.0,285.0
fold_01,rolling_7d,all,decomp_ridge_calendar_vessel_daytype,0.1,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3355.9760332718315,3434.0,6.813492063492063,1.9642857142857142,0.8849206349206349,1173.0,1619.0,2172.0,979.0,283.0
fold_01,rolling_7d,all,decomp_ridge_calendar_vessel_mean,0.1,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3343.8538623814948,3420.0,6.785714285714286,1.9722222222222223,0.8928571428571429,1173.0,1623.0,2189.0,943.0,288.0
fold_01,rolling_7d,all,hour_mean,,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,6270.45,6188.0,12.277777777777779,2.6865079365079363,2.130952380952381,1173.0,2247.0,4174.0,1655.0,359.0
fold_01,rolling_7d,all,poisson_direct_calendar,0.01,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3770.393395798516,3763.0,7.466269841269841,2.0892857142857144,1.2321428571428572,1173.0,1794.0,2371.0,1096.0,296.0
fold_01,rolling_7d,all,poisson_direct_calendar_vessel,0.01,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3537.5111965185156,3545.0,7.033730158730159,2.013888888888889,1.0337301587301588,1173.0,1694.0,2330.0,940.0,275.0
fold_01,rolling_7d,all,ridge_direct_calendar,1.0,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3910.820816676341,4002.0,7.940476190476191,2.0833333333333335,1.1388888888888888,1173.0,1747.0,2535.0,1205.0,262.0
