fold_id,training_policy,method,component_type,component,n_rows,sse_float,sse_rounded,mae_rounded,mean_bias_rounded
fold_01,quality_weighted,hour_scale_p05,region,near,168,1603.4865511355135,1545.0,2.494047619047619,2.0773809523809526
fold_01,quality_weighted,hour_scale_p05,region,outer,168,313.28344052258456,344.0,1.130952380952381,0.5357142857142857
fold_01,quality_weighted,hour_scale_p05,validation_quality,normal,72,501.32632877736313,502.0,2.0277777777777777,0.7222222222222222
fold_01,quality_weighted,hour_scale_p05,validation_quality,reduced,72,689.3001741170879,693.0,2.3472222222222223,1.3194444444444444
fold_01,quality_weighted,hour_scale_p05,validation_quality,severe,72,848.3147993554434,850.0,2.638888888888889,2.5
fold_01,quality_weighted,hour_scale_p05,validation_quality,outage,288,3728.907004545128,3696.0,2.75,2.375
fold_02,all,global_mean,region,core,168,4240.165289256198,4298.0,4.535714285714286,3.8095238095238093
fold_02,all,global_mean,region,near,168,1676.2572314049585,1384.0,2.5238095238095237,1.9880952380952381
fold_02,all,global_mean,region,outer,168,401.05371900826447,418.0,1.380952380952381,0.7738095238095238
fold_02,all,global_mean,validation_quality,reduced,72,655.4121900826447,631.0,2.263888888888889,1.125
fold_02,all,global_mean,validation_quality,severe,144,1709.2789256198344,1643.0,2.7847222222222223,2.3125
fold_02,all,global_mean,validation_quality,outage,288,3952.7851239669417,3826.0,2.9652777777777777,2.3958333333333335
fold_02,all,hour_mean,region,core,168,4148.347107438016,4153.0,4.279761904761905,3.767857142857143
fold_02,all,hour_mean,region,near,168,1649.297520661157,1606.0,2.5833333333333335,2.3214285714285716
fold_02,all,hour_mean,region,outer,168,358.3801652892562,399.0,1.255952380952381,0.7321428571428571
fold_02,all,hour_mean,validation_quality,reduced,72,647.2892561983472,653.0,2.3472222222222223,1.2083333333333333
fold_02,all,hour_mean,validation_quality,severe,144,1627.5785123966944,1641.0,2.6180555555555554,2.3958333333333335
fold_02,all,hour_mean,validation_quality,outage,288,3881.1570247933882,3864.0,2.8402777777777777,2.4791666666666665
fold_02,all,dow_hour_mean,region,core,168,5282.5,5342.0,4.654761904761905,3.869047619047619
fold_02,all,dow_hour_mean,region,near,168,2282.75,2279.0,2.9226190476190474,2.4226190476190474
fold_02,all,dow_hour_mean,region,outer,168,422.75,428.0,1.1785714285714286,0.7142857142857143
fold_02,all,dow_hour_mean,validation_quality,reduced,72,965.0,965.0,2.7083333333333335,1.2916666666666667
fold_02,all,dow_hour_mean,validation_quality,severe,144,1717.25,1784.0,2.5277777777777777,2.236111111111111
fold_02,all,dow_hour_mean,validation_quality,outage,288,5305.75,5300.0,3.1666666666666665,2.6458333333333335
fold_02,all,recent_7d_hour,region,core,168,3775.2857142857147,3795.0,4.041666666666667,3.4345238095238093
fold_02,all,recent_7d_hour,region,near,168,1548.4285714285713,1583.0,2.5892857142857144,2.1964285714285716
fold_02,all,recent_7d_hour,region,outer,168,339.42857142857144,371.0,1.1607142857142858,0.5654761904761905
fold_02,all,recent_7d_hour,validation_quality,reduced,72,613.408163265306,626.0,2.3333333333333335,1.0
fold_02,all,recent_7d_hour,validation_quality,severe,144,1482.9591836734694,1513.0,2.4930555555555554,2.1875
fold_02,all,recent_7d_hour,validation_quality,outage,288,3566.775510204082,3610.0,2.7152777777777777,2.2708333333333335
fold_02,all,recent_14d_hour,region,core,168,4148.347107438016,4153.0,4.279761904761905,3.767857142857143
fold_02,all,recent_14d_hour,region,near,168,1649.297520661157,1606.0,2.5833333333333335,2.3214285714285716
fold_02,all,recent_14d_hour,region,outer,168,358.3801652892562,399.0,1.255952380952381,0.7321428571428571
fold_02,all,recent_14d_hour,validation_quality,reduced,72,647.2892561983472,653.0,2.3472222222222223,1.2083333333333333
