fold_id,training_policy,method,train_day_count_used,excluded_train_day_count,effective_train_day_weight,sse_float,sse_rounded,mae_rounded,mean_bias_rounded,actual_total,predicted_total_rounded
fold_04,all,global_mean,13,0,13.0,6066.72657790927,6463.0,2.9146825396825395,1.7083333333333333,1323.0,2184.0
fold_04,all,hour_mean,13,0,13.0,5250.674556213018,5325.0,2.501984126984127,1.5138888888888888,1323.0,2086.0
fold_04,all,hour_scale_p025,13,0,13.0,4978.214208882833,4942.0,2.4087301587301586,1.4087301587301588,1323.0,2033.0
fold_04,all,hour_scale_p05,13,0,13.0,4734.319254729835,4757.0,2.363095238095238,1.3353174603174602,1323.0,1996.0
fold_04,all,mixed_075_hour_dow,13,0,13.0,5628.497226331361,5668.0,2.5634920634920637,1.5476190476190477,1323.0,2103.0
fold_04,all,recent_14d_hour,13,0,13.0,5250.674556213018,5325.0,2.501984126984127,1.5138888888888888,1323.0,2086.0
fold_04,all,recent_7d_hour,13,0,13.0,4791.285714285714,4824.0,2.384920634920635,1.1111111111111112,1323.0,1883.0
fold_04,exclude_outage_severe,dow_hour_mean,12,1,12.0,7669.25,7754.0,2.857142857142857,1.75,1323.0,2205.0
fold_04,exclude_outage_severe,global_mean,12,1,12.0,6410.806134259259,6463.0,2.9146825396825395,1.7083333333333333,1323.0,2184.0
fold_04,exclude_outage_severe,hour_mean,12,1,12.0,5632.319444444445,5797.0,2.628968253968254,1.7638888888888888,1323.0,2212.0
fold_04,exclude_outage_severe,hour_scale_p025,12,1,12.0,5324.284243712609,5350.0,2.515873015873016,1.6071428571428572,1323.0,2133.0
fold_04,exclude_outage_severe,hour_scale_p05,12,1,12.0,5047.808815260116,5009.0,2.4345238095238093,1.4861111111111112,1323.0,2072.0
fold_04,exclude_outage_severe,mixed_075_hour_dow,12,1,12.0,5828.4453125,6003.0,2.617063492063492,1.7242063492063493,1323.0,2192.0
fold_04,exclude_outage_severe,recent_14d_hour,12,1,12.0,5632.319444444445,5797.0,2.628968253968254,1.7638888888888888,1323.0,2212.0
